,title,title_link,publication_info,snippet,cited_by_link,cited_by_count,pdf_file,year
2,Combined Approach for Large CPA Tumor.,https://www.jkns.or.kr/journal/view.php?number=5093,"DS Nam, SK Ko, OL Kim, JS Suh, YC Chi… - Journal of Korean …, 1992 - jkns.or.kr","With large CPA tumors, the goal of surgery is safe total removal of the tumors and preservation 
of nearby neural structures. Although the suboccipital approach can be made for large …",,,https://www.jkns.or.kr/upload/pdf/jkns-21-1-115.pdf,1992
3,The fate of tumour rests following removal of acoustic neuromas: an MRI Gd-DTPA study,https://www.tandfonline.com/doi/abs/10.3109/02688699209002927,"RH Lye, A Pace-Balzan, RT Ramsden… - British journal of …, 1992 - Taylor & Francis","The fate of capsular fragments left attached to vital structures at the time of otherwise total 
tumour removal was studied in 14 of 21 such patients who underwent acoustic neuroma …","https://scholar.google.com/scholar?cites=17474049618510536571&as_sdt=5,47&sciodt=0,47&hl=en",20.0,,1992
4,[CITATION][C] Direct Surgical Techniques,,"JM Kartush - Neurological Surgery of the Ear, 1992 - Mosby Incorporated",,,,,1992
5,"[CITATION][C] GUNHILD MECHTERSHEIMER, MARTINA STAUDTER",,"P MÖLLER - Ontogenetic and Phylogenetic …, 1992 - New York Academy of Sciences",,,,,1992
0,Na+ channel immunolocalization in peripheral mammalian axons and changes following nerve injury and neuroma formation,https://www.jneurosci.org/content/13/5/1976.short,"M Devor, R Govrin-Lippmann… - Journal of …, 1993 - Soc Neuroscience","Nerve injury frequently triggers hyperexcitability and the ectopic initiation of impulses in 
primary afferent axons. An important consequence is neuropathic paresthesias and pain. …","https://scholar.google.com/scholar?cites=6681324865176142614&as_sdt=5,47&sciodt=0,47&hl=en",361.0,https://www.jneurosci.org/content/jneuro/13/5/1976.full.pdf,1993
1,Ongoing activity in neuroma afferents bearing retrograde sprouts,https://www.sciencedirect.com/science/article/pii/000689939390667C,"R Amir, M Devor - Brain research, 1993 - Elsevier","Electrophysiological recordings were made from axons teased from the sciatic nerve 17–34 
mm (mean 26.8 mm) central to a chronic nerve-end neuroma in adult rats. 23 fibers (2% of …","https://scholar.google.com/scholar?cites=4397539341983885448&as_sdt=5,47&sciodt=0,47&hl=en",61.0,,1993
2,Anomalous origin of the sural nerve in a patient with tibial—common peroneal nerve anastamosis,https://onlinelibrary.wiley.com/doi/abs/10.1002/mus.880160412,"LH Phillips, RF Morgan - Muscle & Nerve: Official Journal of the …, 1993 - Wiley Online Library","Recognition of anomalous innervation patterns may be important in dealing with peripheral 
nerve injuries. We describe a patient who suffered injury to the common peroneal nerve (…","https://scholar.google.com/scholar?cites=2577889466970550923&as_sdt=5,47&sciodt=0,47&hl=en",3.0,,1993
3,Close apposition among neighbouring axonal endings in a neuroma,https://link.springer.com/article/10.1007/BF01181491,"K Fried, R Govrin-Lippmann, M Devor - Journal of neurocytology, 1993 - Springer","Axons in intact peripheral nerve trunks constitute independent afferent and efferent communication 
channels. However, when nerves are severed, several different forms of axon-axon …","https://scholar.google.com/scholar?cites=13528382493182098765&as_sdt=5,47&sciodt=0,47&hl=en",40.0,,1993
0,Peripheral nerve injury induces Schwann cells to express two macrophage phenotypes: phagocytosis and the galactose-specific lectin MAC-2,https://www.jneurosci.org/content/14/5/3231.short,"F Reichert, A Saada, S Rotshenker - Journal of Neuroscience, 1994 - Soc Neuroscience","In N mice, peripheral nerve injury is followed by the normal rapid progression of Wallerian 
degeneration: Schwann cells proliferate and lose their myelin, which is phagocytized and …","https://scholar.google.com/scholar?cites=858050695297566285&as_sdt=5,47&sciodt=0,47&hl=en",284.0,https://www.jneurosci.org/content/jneuro/14/5/3231.full.pdf,1994
1,Hyperexcitability at sites of nerve injury depends on voltage-sensitive Na+ channels,https://journals.physiology.org/doi/abs/10.1152/jn.1994.72.1.349,"O Matzner, M Devor - Journal of neurophysiology, 1994 - journals.physiology.org","1. We used the tested fiber method to record from single myelinated afferents axons ending 
in a chronic nerve injury site (neuroma) in the rat sciatic nerve or L4,5 dorsal root. Axons …","https://scholar.google.com/scholar?cites=6420887305936548857&as_sdt=5,47&sciodt=0,47&hl=en",329.0,,1994
2,A medical curriculum on common musculoskeletal disorders,https://open.library.ubc.ca/soa/cIRcle/collections/831/items/1.0077300,N Craton - 1994 - open.library.ubc.ca,"Injuries and diseases of the musculoskeletal system account for more than 20% of patient 
visits to, and comprise one of the greatest competency needs among primary care medical …","https://scholar.google.com/scholar?cites=622800023564813361&as_sdt=5,47&sciodt=0,47&hl=en",1.0,https://open.library.ubc.ca/media/download/pdf/831/1.0077300/1,1994
0,Acoustic neuroma in the pregnant patient,https://link.springer.com/article/10.1007/BF00168034,"G Magliulo, R Ronzoni, R Petti, D Marcotullio… - European archives of …, 1995 - Springer","We report the case history of a 24-year-old woman with an acoustic neuroma diagnosed 
during the 24th week of pregnancy. Diagnostic steps and surgical management of this …","https://scholar.google.com/scholar?cites=17589194005515709666&as_sdt=5,47&sciodt=0,47&hl=en",8.0,,1995
1,Effects of contralateral white noise stimulation on transitory evoked otoacoustic emissions in patients with acoustic neuroma,https://journals.sagepub.com/doi/pdf/10.1016/S0194-59989570269-5,"J Maurer, M Hinni, A Beck… - … –Head and Neck Surgery, 1995 - journals.sagepub.com","Transitory evoked otoacoustic emissions are normal phenomena observed in most persons 
with hearing levels greater than 35 dB. Further, masking of the contralateral ear produces …","https://scholar.google.com/scholar?cites=7361506763616045293&as_sdt=5,47&sciodt=0,47&hl=en",29.0,,1995
2,"The retrosigmoid approach to acoustic neurinomas: technical, strategic, and future concepts",https://link.springer.com/article/10.1007/BF01417681,"C Matula, JD Day, T Czech, WT Koos - Acta neurochirurgica, 1995 - Springer","The retrosigmoid approach continues to be the most widely employed strategy for the 
surgical resection of acoustic neuromas. The results with respect to facial nerve function are …","https://scholar.google.com/scholar?cites=8364053822360322038&as_sdt=5,47&sciodt=0,47&hl=en",40.0,https://www.academia.edu/download/71083052/bf0141768120211002-15366-1n59g01.pdf,1995
3,El diagnóstico por imagen en la prevención de las lesiones del nervio dentario en la cirugía del tercer molar: Estudio descriptivo-comparativo entre la …,https://eprints.ucm.es/id/eprint/5322/,CM Meniz García - 1995 - eprints.ucm.es,"El tratamiento quirúrgico de los terceros molares inferiores constituye una de las actividades 
mas frecuentes tanto para el cirujano bucal como para el maxilofacial. La posibilidad de …","https://scholar.google.com/scholar?cites=3326775572292032875&as_sdt=5,47&sciodt=0,47&hl=en",2.0,https://eprints.ucm.es/5322/1/T20525.pdf,1995
0,"[PDF][PDF] 22. E. Valjent et al., Proc. Natl. Acad. Sci. USA 102, 491–496 (2005). 23. ES Choe, JQ Wang, Neuroreport 13, 1013–1016 (2002). 24. AJ Silva, JH Kogan, PW …",https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=fdbdae82f50a5fb9cb8679d3820d4e2165c69681,"A Trumpp - Otolaryngol. Head Neck Surg, 1996 - Citeseer","Acknowledgments: We thank K. Khodakhah and P. Calderon for support with surgical 
approaches, rotarod, and early inputs to the project; G. Fishell for the Nestin-CreER mice in which …",,,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=fdbdae82f50a5fb9cb8679d3820d4e2165c69681,1996
1,Regeneration through a long nerve graft used in the correction of facial palsy: A qualitative and quantitative study,https://academic.oup.com/brain/article-abstract/119/1/271/338161,"JM Jacobs, JHE Laing, DH Harrison - Brain, 1996 - academic.oup.com","A surgical technique has been developed for the correction of established unilateral palsy 
in man. A long (20 cm or more) sural nerve graft is anastomosed to a facial nerve branch on …","https://scholar.google.com/scholar?cites=3578729801054265534&as_sdt=5,47&sciodt=0,47&hl=en",51.0,https://academic.oup.com/brain/article-pdf/119/1/271/967161/119-1-271.pdf,1996
2,Long-term follow-up of recurrent laryngeal nerve avulsion for the treatment of spastic dysphonia,https://journals.sagepub.com/doi/pdf/10.1177/000348949610500802,"BS Jewett, RE Stone, DT Weed… - Annals of otology …, 1996 - journals.sagepub.com","Long-term follow-up of 3 to 7 years is reported on 18 patients who had undergone recurrent 
laryngeal nerve avulsion (RLNA) for the treatment of adductor spastic dysphonia (SD). Data …","https://scholar.google.com/scholar?cites=11794900212246414367&as_sdt=5,47&sciodt=0,47&hl=en",50.0,,1996
3,Lippincott's magnetic resonance imaging review,https://books.google.com/books?hl=en&lr=&id=AtxiO7wJeWMC&oi=fnd&pg=PA1&dq=neuromab&ots=G9TwWIRrwS&sig=PTN-l4iqCgZTknGQEAZO4-27DfY,"GL Wheeler, KE Withers - 1996 - books.google.com","Here's the perfect review tool for radiologic technologists taking the ARRT's Advanced 
Qualifications Examination in Magnetic Resonance Imaging. It's packed with over 700 questions …","https://scholar.google.com/scholar?cites=6478679973362529577&as_sdt=5,47&sciodt=0,47&hl=en",2.0,,1996
4,Neurosurgical Procedures of the,https://books.google.com/books?hl=en&lr=&id=OZAILtYXDdgC&oi=fnd&pg=PA133&dq=neuromab&ots=BpqlFa6i-i&sig=r7051cX6CK9I7MPLF8wLc1GyxGc,"KJ Burchiel - Neurosurgical Management of Pain, 1996 - books.google.com","Pain-relieving operations directed at the peripheral nervous system have a historic basis in 
the practice of surgery, because they were among the first invasive strategies attempted for …",,,,1996
5,[BOOK][B] Temporal and morphological analysis of myelinated sensory and motor axons in post-axotomized peripheral nerves of adult rats,https://search.proquest.com/openview/c65a69afd44c4f07141f8d93dd891447/1?pq-origsite=gscholar&cbl=18750&diss=y,MY Macias - 1996 - search.proquest.com,"Two major limitations in studies describing the structural events that occur during aberrant 
regeneration of peripheral nerves are the lack of discrimination between myelinated sensory …",,,,1996
0,Helical CT and its three-dimensional image: Application for image-guided surgery in middle cranial fossa approach,https://www.tandfonline.com/doi/abs/10.3109/13645709709153082,"A Tsunoda, H Muraoka, M Yamada… - … Invasive Therapy & …, 1997 - Taylor & Francis","We describe our method to design a safe approach to the target region in surgery using 
helical (spiral) computed tomography (CT) and its three-dimensional images. Twenty-five …","https://scholar.google.com/scholar?cites=294921375036305659&as_sdt=5,47&sciodt=0,47&hl=en",7.0,,1997
1,Resultados de la estimulación eléctrica sobre los cordones dorsales medulares para el alivio del dolor neurogénico,https://www.sciencedirect.com/science/article/pii/S113014739771039X,"F Seijo, J Moreno, C Alvarez, JM López - Neurocirugía, 1997 - Elsevier","El dolor neurogénico es tratado de muy diferentes maneras sin obtener unos resultados 
satisfactorios. Con el objetivo de evaluar la efectividad de la estimulación eléctrica espinal en …",,,,1997
2,[PDF][PDF] Intraoperative cranial nerve monitoring,https://www.academia.edu/download/68184782/s0277-0326_2897_2980006-220210718-8378-2ry4eb.pdf,"PR Kileny, BM Edwards - Seminars in Anesthesia, Perioperative …, 1997 - academia.edu","BACKGROUND T HERE HAVE BEEN remarkable recent ad-vances in surgical procedures 
performed on the central and peripheral nervous systems. For instance, early in this century, …","https://scholar.google.com/scholar?cites=2452485263334991905&as_sdt=5,47&sciodt=0,47&hl=en",4.0,https://www.academia.edu/download/68184782/s0277-0326_2897_2980006-220210718-8378-2ry4eb.pdf,1997
3,Stereotactic radiosurgery of malignant and benign intracranial lesions utilizing a patient rotator,https://onlinelibrary.wiley.com/doi/abs/10.1002/(SICI)1520-6823(1997)5:1%3C20::AID-ROI4%3E3.0.CO;2-M,"CH Alleyne Jr, TH Fox, JJ Olson… - … : Clinical and Basic …, 1997 - Wiley Online Library","This study examines the characteristics of the patient groups, treatment parameters, and 
results of therapy for 126 intracranial lesions treated with stereotactic radiosurgery utilizing a “…","https://scholar.google.com/scholar?cites=114864430683565430&as_sdt=5,47&sciodt=0,47&hl=en",7.0,,1997
4,Trimethylphosphate: a 30-month chronic toxicity/carcinogenicity study in Wistar rats with administration in drinking water,https://www.sciencedirect.com/science/article/pii/S0272059097923745,"EM Bomhard, GJ Krinke, WM Rossberg… - Fundamental and Applied …, 1997 - Elsevier","Trimethylphosphate (TMPO) was administered to 50 male and 50 female Wistar rats through 
their drinking water at doses of 0, 1, 10, or 100 mg/kg body weight up to 30 months. The …","https://scholar.google.com/scholar?cites=5216049666137227593&as_sdt=5,47&sciodt=0,47&hl=en",11.0,https://academic.oup.com/toxsci/article-pdf/40/1/75/4777379/40-1-75.pdf,1997
5,Benign neural tumors of the oral cavity: a comparative immunohistochemical study,https://www.sciencedirect.com/science/article/pii/S1079210497900366,"E Chrysomali, SI Papanicolaou, NP Dekker… - Oral Surgery, Oral …, 1997 - Elsevier","To determine if immunohistochemistry can be used as adjunct to the diagnosis and classification 
of oral benign neural tumors, we stained 77 neurally differentiated tumors with a panel …","https://scholar.google.com/scholar?cites=330140941798313656&as_sdt=5,47&sciodt=0,47&hl=en",168.0,,1997
6,[CITATION][C] Radiology in pediatric otolaryngology,,"PD Phelps - Scott Brown's otolaryngology, 1997",,"https://scholar.google.com/scholar?cites=11393463971638716965&as_sdt=5,47&sciodt=0,47&hl=en",4.0,,1997
0,[PDF][PDF] Investigation of the use of Neural Networks for Computerised Medical Image Analysis,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=5de4b386ae7badfee4cc5a1e677df7d85b970e40,S Dickson - 1998 - Citeseer,"Advances in clinical medical imaging have brought about the routine production of vast 
numbers of medical images that need to be analysed. As a result an enormous amount of …","https://scholar.google.com/scholar?cites=5412233074830734552&as_sdt=5,47&sciodt=0,47&hl=en",10.0,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=5de4b386ae7badfee4cc5a1e677df7d85b970e40,1998
1,[BOOK][B] Essential Hand Surgery-Common Hand Conditions and their Treatment,https://books.google.com/books?hl=en&lr=&id=DTkWEAAAQBAJ&oi=fnd&pg=PT7&dq=neuromab&ots=g95-77H-Pn&sig=Z73p6m7zqP5Pm_gzmajUXTxjBUM,H Kapila - 1998 - books.google.com,"Dr Hari Kapila is an internationally known Hand & Micro Surgeon who has been in this field 
for more than 52years. This book is written by Dr Kapila himself with the best surgical and …",,,,1998
0,Morton neuroma: effect of MR imaging findings on diagnostic thinking and therapeutic decisions,https://pubs.rsna.org/doi/abs/10.1148/radiology.213.2.r99nv06583,"M Zanetti, JK Strehle, HP Kundert, H Zollinger, J Hodler - Radiology, 1999 - pubs.rsna.org","PURPOSE: To determine the effect of magnetic resonance (MR) imaging results on diagnostic 
thinking and therapeutic decisions by orthopedic surgeons in cases of a possible Morton …","https://scholar.google.com/scholar?cites=8616335178427408311&as_sdt=5,47&sciodt=0,47&hl=en",104.0,,1999
1,[BOOK][B] Investigating the self-reported clinical breast examination skills of nurse practitioners licensed in two mid-Atlantic states,https://search.proquest.com/openview/461b287067989ae0bce0f361600794c0/1?pq-origsite=gscholar&cbl=18750&diss=y,LA Smith - 1999 - search.proquest.com,"The purpose of this study was to investigate whether relationships existed between the 
reported clinical breast examination skills of nurse practitioners and clinical specialty, years in …",,,https://mdsoar.org/bitstream/handle/11603/11368/Smith_Linda_1999.pdf?sequence=1&isAllowed=y,1999
0,Acoustic Neuroma–Surgery or Radiosurgery?,https://www.karger.com/Article/Abstract/56472,"BP Brophy - Stereotactic and Functional Neurosurgery, 2000 - karger.com","This paper discusses surgery and radiosurgery from the author’s personal experience with 
both techniques. Multi-discipline assessment will allow the patient to make an informed …","https://scholar.google.com/scholar?cites=18151713961349666062&as_sdt=5,47&sciodt=0,47&hl=en",3.0,,2000
1,Neuroma: a donor-age independent source of human Schwann cells for tissue engineered nerve grafts,https://journals.lww.com/neuroreport/Fulltext/2000/11270/Neuroma__a_donor_age_independent_source_of_human.42.aspx,"G Keilhoff, H Fansa, KH Smalla, W Schneider… - …, 2000 - journals.lww.com","Schwann cells are used in combination with biological matrices as tissue engineered nerve 
grafts in animal models offering a new therapeutic approach for treatment of lesions of the …","https://scholar.google.com/scholar?cites=11885360614554158846&as_sdt=5,47&sciodt=0,47&hl=en",40.0,,2000
