sample_name	trimmer_id	PlateName	Category	ShowOnWeb	ProteinTarget
Psanger_128624	K64/15R	Sanger_samples	6	T	SAP97
Psanger_128625	K66/38R	Sanger_samples	6	T	CASPR/Neurexin IV
Psanger_128626	K74/71R	Sanger_samples	6	T	Nav1.1 Na+ channel
Psanger_128627	K75/41R	Sanger_samples	6	T	Kv4.3 K+ Channel
Psanger_128628	K89/34R	Sanger_samples	6	T	Kv2.1 K+ Channel
Psanger_128629	K91/36R	Sanger_samples	6	T	WAVE1/SCAR
Psanger_128630	L20/8R	Sanger_samples	6	T	PICK1
Psanger_128632	L42/17R	Sanger_samples	6	T	SynDIG1/Tmem90b
Psanger_128633	L43/40R	Sanger_samples	6	T	DLX1
Psanger_128634	L6/23R	Sanger_samples	6	T	Slo1/BKAlpha maxi-K+ channel
Psanger_128635	N106/43R	Sanger_samples	6	T	Ankyrin-G (staining)
Psanger_128636	N205B/22R	Sanger_samples	6	T	LRRTM4
Psanger_128637	N23B/49R	Sanger_samples	6	T	Pan-Shank
Psanger_128638	N28/9R	Sanger_samples	6	T	VGlut1
Psanger_128639	N351/23R	Sanger_samples	6	T	Versican
Psanger_128640	N388A/60R	Sanger_samples	6	T	Pan-Ankyrin
Psanger_128641	N76/8R	Sanger_samples	6	T	Ataxin-1, 11NQ
Psanger_140063	L61/14R	Sanger_samples	6	T	Kv2.1 K+ channel pS603
Psanger_140064	N3/26R	Sanger_samples	6	T	KCNT1/Slo2.2/Slack K+ channel
Psanger_140065	L5/1R	Sanger_samples	6	T	SCG10/Stathmin-2
Psanger_140066	K72/8R	Sanger_samples	6	T	Co-Rest/RCOR1
Psanger_140068	K19/36R	Sanger_samples	6	T	Kv1.6 K+ channel
Psanger_140069	K7/45R	Sanger_samples	6	T	Kv1.5 K+ channel
Psanger_140070	K9/40R	Sanger_samples	6	T	Kvbeta1.1/KCNAB1 K+ channel
Psanger_140071	L8/15R	Sanger_samples	6	T	Snapin/SNAPAP
Psanger_140072	N111/24R	Sanger_samples	6	T	Mitofusin-1
Psanger_140073	N121A/31R	Sanger_samples	6	T	Pannexin-2
Psanger_140074	N124B/38R	Sanger_samples	6	T	Kir2.2 K+ channel
Psanger_140075	N129A/6R	Sanger_samples	6	T	Mad3
Psanger_140076	N295B/66R	Sanger_samples	6	T	Arl13b
Psanger_140077	N328B/37R	Sanger_samples	6	T	ZNF423
Psanger_140078	N69/46R	Sanger_samples	6	T	Shank3
Psanger_140079	N83/48R	Sanger_samples	6	T	GIT2
Psanger_140081	N98/7R	Sanger_samples	6	T	Neuroligin-4*
Psanger_149451	N279B/27R	Sanger_samples	6	T	GluK5/Grik5/KA2 kainate receptor
Psanger_149452	N320/48R	Sanger_samples	6	T	Kirrel3, short isoform 3
Psanger_149453	L28/4R	Sanger_samples	6	T	Kv4.2 K+ channel
Psanger_149454	L18A/3R	Sanger_samples	6	T	BK beta4 K+ channel
Psanger_149455	L51/82R	Sanger_samples	6	T	MMP9 matrix metalloproteinase-9 precursor
Psanger_149456	N415/24R	Sanger_samples	6	T	GABA(A)R, Alpha5
Psanger_149458	N8B/1R	Sanger_samples	6	T	Cavbeta2 Ca2+ channel
Psanger_164154	N212/7R	Sanger_samples	6	T	TRIP8b
Psanger_164155	N229A/32R	Sanger_samples	6	T	GABA(A)R, alpha6
Psanger_164156	N174B/27R	Sanger_samples	6	T	Gamma-protocadherin-C3
Psanger_164157	N201/35R	Sanger_samples	6	T	Iduna/RNF146
