Status	Freezer	Rack	Box	Location		Date	Initials	Target		# of entry									
Immortality	2	1	2	3	N95/35.1	06/14/13	KK	GABA AR AlphA 1 1x10^7 cells/ml 0.5 ml	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	4	L126/93.4 IM	06/20/18	JAT	SAPAP3	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	5	L126/93.4 IM	06/20/18	JAT	SAPAP3	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	6	N446/80.2	12/11/15	TL	Celf4	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	7	N446/80.2	12/11/15	TL	Celf4	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	8	K69/3.2	02/19/19	CD	Nav1.2	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	9	K69/3.2	02/19/19	CD	Nav1.2	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	10	K73/20.5	02/19/19	CD	Contactin/F3	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	11	K73/20.5	02/19/19	CD	Contactin/F3	For MMRRC? - Box needs to be re-logged										
Other	2	1	2	12	something is here														
Other	2	1	2	13	something is here														
Immortality	2	1	2	14	L86A/37.1	06/04/12	KK	Amigo-1	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	15	L86A/37.1	06/04/12	KK	Amigo-1	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	16	K60/73.1	02/19/19	CD	KCHip2b	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	17	K60/73.1	02/19/19	CD	KCHip2b	For MMRRC? - Box needs to be re-logged										
Subclone	2	1	2	18	L122/133.2	3/21/22	RB/SM	CALB2/calretinin											
Immortality	2	1	2	19	K67/25.4	02/19/19	CD	CASPR2	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	20	N461/19.2	08/09/16	DM	Kv9.1 KCNS1	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	21	N461/19.2	08/09/16	DM	Kv9.1 KCNS1	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	22	K28/74.1	02/20/13	KK	PSD-95	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	23	K28/74.1	02/20/13	KK	PSD-95	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	24	K37/89.5	03/05/13	KK	Kv2.2	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	25	K37/89.5	03/05/13	KK	Kv2.2	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	26	L6/48.1	05/14/15	KK	Slo1	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	27	L6/48.1	05/14/15	KK	Slo1	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	28	N341/12.5	02/20/13	KK	LRRK1	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	29	N341/12.5	02/20/13	KK	LRRK1	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	30	N372B/60.2	05/30/13	KK	Kv2.2	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	31	N372B/60.2	05/30/13	KK	Kv2.2	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	32	N372C/51.2	05/07/13	KK	Kv2.2	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	33	N372C/51.2	05/07/13	KK	Kv2.2	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	34	N375/67.1	05/06/13	KK	Kv3.3	For MMRRC? - Box needs to be re-logged										
Subclone	2	1	2	35	L122/133.3	3/21/22	RB/SM	CALB2/calretinin											
Subclone	2	1	2	36	L122/136.1	3/21/22	RB/SM	CALB2/calretinin											
Subclone	2	1	2	37	L122/139.2	3/21/22	RB/SM	CALB2/calretinin											
Immortality	2	1	2	38	N377/83.1	04/04/13	KK	MAP3K12	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	39	N377/83.1	04/04/13	KK	MAP3K12	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	40	K75/41.1	02/20/19	CD	Kv4.3	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	41	K75/41.1	02/20/19	CD	Kv4.3	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	42	K40/17.1.1	02/21/19	CD	Pan-Kvbeta	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	43	K40/17.1.1	02/21/19	CD	Pan-Kvbeta	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	44	L28/4.1	06/03/13	KK	Kv4.2	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	45	L28/4.1	06/03/13	KK	Kv4.2	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	45	N56/9.1	06/12/13	KK	S-tag 1X 10^7/ml 1.0 ml	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	46	N56/9.1	06/12/13	KK	S-tag 1X 10^7/ml 1.0 ml	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	47	N81/2.1	06/12/13	KK	GABA BR2 1x10^7/ml 0.5 ml	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	48	N81/2.1	06/12/13	KK	GABA BR2 1x10^7/ml 0.5 ml	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	49	N202/7.1.5	07/23/13	KK	Fig4/Sac3 0.5x10^7/ml 0.5 ml	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	50	N202/7.1.5	07/23/13	KK	Fig4/Sac3 0.5x10^7/ml 0.5 ml	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	51	N364/42.1	09/18/12	KK	Bral 1 (approx. 0.5X10^7 cells/ml)	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	52	N364/42.1	09/18/12	KK	Bral 1 (approx. 0.5X10^7 cells/ml)	For MMRRC? - Box needs to be re-logged										
Empty	2	1	2	53					For MMRRC? - Box needs to be re-logged										
Empty	2	1	2	54															
Immortality	2	1	2	55	N126B/31.1	10/28/13	KK	Neuregulin-CRD	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	56	N126B/31.1	10/28/13	KK	Neuregulin-CRD	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	57	N170A/26.2	10/28/13	KK	Neurexin-1 betA	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	58	N170A/26.2	10/28/13	KK	Neurexin-1 betA	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	59	N229A/32.6	06/24/14	KK	GABA AR AlphA 6	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	60	N229A/32.6	06/24/14	KK	GABA AR AlphA 6	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	61	N326D/13.1.1	10/03/13	KK	Reep2 (just > 1.0x10^7 cells/ml)	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	62	N326D/13.1.1	10/03/13	KK	Reep2 (just > 1.0x10^7 cells/ml)	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	63	N326D/2.1.1	9/30/2013 (tubes sAy 9/27/13)	KK	Reep2 (just > 1.0x10^7 cells/ml)	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	64	N326D/2.1.1	9/30/2013 (tubes sAy 9/27/13)	KK	Reep2 (just > 1.0x10^7 cells/ml)	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	65	N372B/1.1	09/13/13	KK	KV2.2	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	66	N372B/1.1	09/13/13	KK	KV2.2	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	67	N43/6.1	07/09/10	BMB	Anti KCNQ4	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	68	N43/6.1	07/09/10	BMB	Anti KCNQ4	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	69	N49A/21.1	07/23/10	BMB	Anti NGL-1	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	70	N49A/21.1	07/23/10	BMB	Anti NGL-1	For MMRRC? - Box needs to be re-logged										
Empty	2	1	2	71					For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	72	N50/36.1	07/26/10	BMB	Anti NGL-2	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	73	N51/6.2	01/19/11	BMB	Anti NGL-3	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	74	N51/6.2	01/19/11	BMB	Anti NGL-3	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	75	N52A/42.1	07/23/10	BMB	Anti Mortalin/GRP75	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	76	N52A/42.1	07/23/10	BMB	Anti Mortalin/GRP75	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	77	N52B/27.1	08/03/10	BMB	Anti SALM2	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	78	N52B/27.1	08/03/10	BMB	Anti SALM2	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	79	N53/32.1	07/26/10	BMB	Anti BK beta2	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	80	N53/32.1	07/26/10	BMB	Anti BK beta2	For MMRRC? - Box needs to be re-logged										
Empty	2	1	2	81															
Empty	2	1	2	82															
Empty	2	1	2	83															
Empty	2	1	2	84															
Empty	2	1	2	86															
Empty	2	1	2	87															
Empty	2	1	2	88															
Empty	2	1	2	89															
Empty	2	1	2	90															
Empty	2	1	2	91															
Empty	2	1	2	92															
Empty	2	1	2	93															
Empty	2	1	2	94															
Empty	2	1	2	95															
Empty	2	1	2	96															
Empty	2	1	2	97															
Empty	2	1	2	98															
Empty	2	1	2	99															
Empty	2	1	2	100															
Parent	2	1	3	1	L124/001	09/22/17	PT TW JAT IH	BASSOON		3									
Parent	2	1	3	2	L124/002	09/22/17	PT TW JAT IH	BASSOON		3									
Parent	2	1	3	3	L124/003	09/22/17	PT TW JAT IH	BASSOON		3									
Parent	2	1	3	4	L124/004	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	5	L124/004	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	6	L124/005	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	7	L124/006	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	8	L124/007	09/22/17	PT TW JAT IH	BASSOON		3									
Parent	2	1	3	9	L124/008	09/22/17	PT TW JAT IH	BASSOON		3									
Parent	2	1	3	10	L124/009	04/01/22	RB	BASSOON	Used for Subcloning and Parents refrozen (original vial from 9/22/17)	3									
Parent	2	1	3	11	L124/010	09/22/17	PT TW JAT IH	BASSOON		2									
Parent	2	1	3	12	L124/011	04/01/22	RB	BASSOON	Used for Subcloning and Parents refrozen (original vial from 9/22/17)	2									
Parent	2	1	3	13	L124/012	09/22/17	PT TW JAT IH	BASSOON		3									
Parent	2	1	3	14	L124/013	09/22/17	PT TW JAT IH	BASSOON		3									
Parent	2	1	3	15	L124/014	04/01/22	RB	BASSOON	Used for Subcloning and Parents refrozen (original vial from 9/22/17)	3									
Parent	2	1	3	16	L124/015	09/22/17	PT TW JAT IH	BASSOON		3									
Parent	2	1	3	17	L124/016	09/22/17	PT TW JAT IH	BASSOON		3									
Parent	2	1	3	18	L124/017	04/14/22	RB	BASSOON	Thawed from 9/22/17 vial for subcloning.	3									
Parent	2	1	3	19	L124/018	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	20	L124/019	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	21	L124/020	04/01/22	RB	BASSOON	Used for Subcloning and Parents refrozen (original vial from 9/22/17)										
Parent	2	1	3	22	L124/021	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	23	L124/022	09/22/17	PT TW JAT IH	BASSOON		3									
Parent	2	1	3	24	L124/023	09/22/17	PT TW JAT IH	BASSOON		3									
Parent	2	1	3	25	L124/024	09/22/17	PT TW JAT IH	BASSOON		3									
Parent	2	1	3	26	L124/025	04/01/22	RB	BASSOON	Used for Subcloning and Parents refrozen (original vial from 9/22/17)	3									
Parent	2	1	3	27	L124/026	09/22/17	PT TW JAT IH	BASSOON		3									
Parent	2	1	3	28	L124/027	09/22/17	PT TW JAT IH	BASSOON		3									
Parent	2	1	3	29	L124/028	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	30	L124/029	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	31	L124/030	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	32	L124/031	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	33	L124/032	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	34	L124/033	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	35	L124/035	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	36	L124/035	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	37	L124/036	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	38	L124/037	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	39	L124/038	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	40	L124/039	04/01/22	RB	BASSOON	Used for Subcloning and Parents refrozen (original vial from 9/22/17)										
Parent	2	1	3	41	L124/040	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	42	L124/041	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	43	L124/041	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	44	L124/042	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	45	L124/043	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	46	L124/044	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	47	L124/045	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	48	L124/046	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	49	L124/047	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	50	L124/048	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	51	L124/049	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	52	L124/050	04/14/22	RB	BASSOON	Thawed from 9/22/17 vial for subcloning.										
Parent	2	1	3	53	L124/051	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	54	L124/052	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	55	L124/053	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	56	L124/054	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	57	L124/055	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	58	L124/056	04/01/22	RB	BASSOON	Used for Subcloning and Parents refrozen (original vial from 9/22/17)										
Parent	2	1	3	59	L124/057	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	60	L124/058	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	61	L124/059	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	62	L124/059	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	63	L124/060	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	64	L124/061	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	65	L124/062	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	66	L124/063	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	67	L124/064	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	68	L124/065	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	69	L124/066	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	70	L124/067	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	71	L124/068	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	72	L124/068	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	73	L124/069	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	74	L124/070	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	75	L124/071	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	76	L124/072	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	77	L124/073	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	78	L124/074	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	79	L124/075	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	80	L124/076	09/22/17	PT TW JAT IH	BASSOON											
Parent	2	1	3	81	L124/077	09/22/17	PT TW JAT IH	BASSOON											
Empty	2	1	3	82															
Empty	2	1	3	83															
Empty	2	1	3	84															
Empty	2	1	3	85															
Empty	2	1	3	86															
Empty	2	1	3	87															
Empty	2	1	3	88															
Empty	2	1	3	89															
Empty	2	1	3	90															
Empty	2	1	3	91															
Empty	2	1	3	92															
Empty	2	1	3	93															
Empty	2	1	3	94															
Empty	2	1	3	95															
