,"('stars-mean', 'Heavy')","('stars-mean', 'Light')","('stars-max', 'Heavy')","('stars-max', 'Light')","('stars-min', 'Heavy')","('stars-min', 'Light')","('stars-std', 'Heavy')","('stars-std', 'Light')","('stars-count', 'Heavy')","('stars-count', 'Light')",Priority,Clone,Status 062722,Year completed,complete,mabid,Tube,Cell Type,Freezer-Rack-Box,"('stars', 'Heavy')","('stars', 'Light')","('full_mabid', 'Heavy')","('full_mabid', 'Light')","('pks', 'Heavy')","('pks', 'Light')",Biological Replicates not sequenced,Done
167,3.34514353281818,3.4286404598423634,3.4938160390135384,3.7493217044535,3.0703328577938502,2.8008211990058984,0.23825958411075765,0.5437495958313091,3.0,3.0,353.0,N143/36,,,False,N143/36,"N143/36.1.1
N143/36.1.1
N143/36.1.1
N143/36.1.1","Immortality
Immortality
Immortality
Immortality","3.0-4.0-2.0
3.0-4.0-2.0
3.0-5.0-2.0
3.0-5.0-2.0","3.493816039013538
3.4712817016471504
3.0703328577938502","3.7493217044535
3.7357784760676926
2.800821199005898","N143/36.11
N143/36.11
N143/36.11","N143/36.11
N143/36.11
N143/36.11","20110
20131
25227","20213
20234
25257",N143/36.1.1,False
321,3.8246707707587864,3.7849677332190192,3.8358019058668944,3.809386040890299,3.813539635650677,3.7605494255477394,0.015741802234494322,0.03453270187892293,2.0,2.0,361.0,N347/42,,,False,N347/42,"N347/42.1
N347/42.1
N347/42.1
N347/42.1
N347/42.1
N347/42.1
N347/42.1
N347/42.1
N347/42.1","Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality","3.0-4.0-8.0
3.0-4.0-8.0
3.0-4.0-8.0
4.0-12.0-7.0
4.0-12.0-7.0
4.0-12.0-7.0
4.0-12.0-7.0
4.0-12.0-7.0
4.0-12.0-7.0","3.8358019058668944
3.8135396356506774","3.809386040890299
3.7605494255477394","N347/42.1
N347/42.3","N347/42.1
N347/42.3","438
18886","531
18978",,False
421,3.155971265740322,2.4633266412576638,3.155971265740322,2.4633266412576638,3.155971265740322,2.4633266412576638,,,1.0,1.0,366.0,N466/14,,,False,N466/14,"N466/14.1 IM
N466/14.1 IM
N466/14.1 IM
N466/14.1 IM
N466/14.1 IM
N466/14.1 IM
N466/14.1 IM
N466/14.1 IM
N466/14.1 IM","Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality","4.0-5.0-1.0
4.0-5.0-4.0
4.0-5.0-4.0
4.0-6.0-10.0
4.0-6.0-10.0
4.0-6.0-10.0
4.0-6.0-10.0
5.0-21.0-11.0
5.0-21.0-11.0",3.155971265740322,2.4633266412576633,N466/14.1,N466/14.1,2904,3002,N466/14.1 IM,False
148,1.8459258901758904,1.44617174584062,1.9979166666666663,1.8493377483443707,1.5714285714285714,1.1904761904761905,0.2381783229361881,0.3533203754296161,3.0,3.0,369.0,N123/48,,,False,N123/48,"N123/48.1
N123/48.1
N123/48.1","Immortality
Immortality
Immortality","0.0-D-4
0.0-D-4
3.0-4.0-8.0","1.9979166666666666
1.9684324324324325
1.5714285714285714","1.1904761904761905
1.849337748344371
1.2987012987012987","N123/48.1
N123/48.2
N123/48.1","N123/48.1
N123/48.2
N123/48.1","6
18449
19831","95
18556
19927",,False
183,4.287128679810082,3.919820818697613,4.302112662487446,4.032402932646095,4.260609893284601,3.799679995203309,0.02303060437194564,0.11654545023508316,3.0,3.0,373.0,N155/9,,,False,N155/9,"N155/9.2
N155/9.2
N155/9.2","Immortality
Immortality
Immortality","3.0-4.0-2.0
3.0-4.0-2.0
3.0-5.0-3.0","4.298663483658199
4.302112662487447
4.260609893284601","3.927379528243434
4.032402932646095
3.7996799952033093","N155/9.4
N155/9.3
N155/9.2","N155/9.4
N155/9.3
N155/9.2","18604
18687
20323","18695
18787
20422",,False
293,3.1887091784517243,4.035449508770963,4.17556243214738,4.233555776139306,1.8868154196969933,3.837772126049112,1.1887070566558728,0.1978921736102996,5.0,3.0,380.0,N307/12,,,False,N307/12,"N307/12.1
N307/12.1
N307/12.1
N307/12.1","Immortality
Immortality
Immortality
Immortality","3.0-4.0-3.0
3.0-4.0-3.0
3.0-5.0-3.0
3.0-5.0-3.0","4.069811339752924
4.17556243214738
1.8868154196969935
3.917295186088206
1.8940615145731166","4.035020624124473
4.233555776139305
3.837772126049112","N307/12.1
N307/12.2
N307/12.2
N307/12.1
N307/12.1","N307/12.1
N307/12.2
N307/12.1","421
18851
18852
19828
19829","510
18940
19924",,False
345,4.148232186361748,2.8677764797056104,4.294407563644665,3.7657079519619794,4.055932099241119,0.7250668700621499,0.12804119238813244,1.443152856921821,3.0,4.0,384.0,N380/87,,,False,N380/87,"N380/87.2
N380/87.2
N380/87.2
N380/87.2
N380/87.2","Immortality
Immortality
Immortality
Immortality
Immortality","3.0-3.0-11.0
3.0-4.0-7.0
3.0-4.0-7.0
5.0-19.0-9.0
5.0-19.0-9.0","4.094356896199461
4.055932099241119
4.294407563644665","3.7657079519619794
3.6849074282548813
3.2954236685434295
0.7250668700621499","N380/87.2
N380/87.2
N380/87.4","N380/87.2
N380/87.2
N380/87.4
N380/87.4","434
19666
20840","527
19755
20936
20937",,False
398,4.296187145346996,4.15414510106607,4.3083168434072485,4.16111684340725,4.287129149296496,4.140358825914538,0.01092273364869075,0.011939523257838057,3.0,3.0,390.0,N441/35,,,False,N441/35,"N441/35.1
N441/35.1
N441/35.1
N441/35.1
N441/35.1
N441/35.1
N441/35.1
N441/35.1
N441/35.1
N441/35.1
N441/35.1","Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality","3.0-4.0-8.0
3.0-4.0-8.0
3.0-4.0-8.0
3.0-6.0-7.0
3.0-6.0-7.0
3.0-6.0-7.0
3.0-6.0-7.0
3.0-6.0-7.0
3.0-6.0-7.0
3.0-6.0-7.0
3.0-6.0-10.0","4.308316843407249
4.293115443337246
4.287129149296496","4.16111684340725
4.160959633876422
4.140358825914538","N441/35.1
N441/35.2
N441/35.3","N441/35.1
N441/35.2
N441/35.3","281
19225
19233","382
19325
19335",,False
418,2.1694060058012434,2.942768023031753,3.105887821900281,3.322701711125608,0.4820586440598578,2.303849155639589,1.0679258848432396,0.4664568137281413,7.0,4.0,392.0,N461/19,,,False,N461/19,"N461/19.2 
N461/19.2 
N461/19.2 
N461/19.2 
N461/19.2 
N461/19.2 
N461/19.2 ","Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality","0.0-9-8
0.0-9-8
1.0-10-6
1.0-10-6
1.0-10-6
1.0-10-6
1.0-10-6","3.0693383532885736
1.2403759815667945
3.010360793245127
0.4820586440598578
3.1058878219002812
2.7457936165374104
1.532026830010662","3.2548014152619427
3.3227017111256076
2.303849155639589
2.8897198100998747","N461/19.2
N461/19.2
N461/19.2
N461/19.2
N461/19.6
N461/19.7
N461/19.7","N461/19.2
N461/19.2
N461/19.6
N461/19.7","251
252
19709
19710
20445
20452
20453","352
19801
20533
20540",N461/19.2 ,False
6,0.6868932038834952,1.2255737511546358,0.8511326860841424,1.9099437148217635,0.5226537216828478,0.3776169047153199,0.23226970320528995,0.7791513745120959,2.0,3.0,394.0,EA7,restricted,,False,EA7,"EA7
EA7
EA7
EA7.2
EA7.2
EA7.2
EA7.2
EA7.2
EA7.2
EA7.2
EA7.2
EA7.2
EA7.2","Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality","1.0-8-7
3.0-5.0-4.0
3.0-5.0-4.0
5.0-20.0-9.0
5.0-20.0-9.0
5.0-20.0-9.0
5.0-20.0-9.0
5.0-20.0-9.0
5.0-20.0-9.0
5.0-20.0-9.0
5.0-20.0-9.0
5.0-20.0-9.0
5.0-20.0-9.0","0.8511326860841424
0.5226537216828478","1.9099437148217635
1.3891606339268245
0.3776169047153199","EA7.2
EA7.2","EA7.2
EA7.2
EA7.2","19898
19899","124
20013
20014",EA7,False
326,3.4998916523613817,3.4700650056110325,3.5039633030456194,3.4725951314670587,3.495820001677145,3.4675348797550054,0.0057581836188941036,0.003578138300103858,2.0,2.0,412.0,N356/9,,,False,N356/9,"N356/9.1
N356/9.1
N356/9.1
N356/9.1
N356/9.1
N356/9.1
N356/9.1","Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality","0.0-D-4
0.0-D-4
3.0-5.0-4.0
3.0-5.0-4.0
3.0-5.0-4.0
3.0-5.0-4.0
3.0-5.0-4.0","3.5039633030456194
3.495820001677145","3.472595131467059
3.4675348797550054","N356/9.1
N356/9.1","N356/9.1
N356/9.1","451
19665","547
19754",,False
332,2.7453378293576374,2.806880659267696,3.7641120114413846,3.7085067508118583,1.2096238422643724,1.203178430676258,0.9251883377760513,0.9905489902898814,7.0,7.0,414.0,N364/42,,,False,N364/42,"N364/42.1
N364/42.1
N364/42.1
N364/42.1
N364/42.1","Immortality
Immortality
Immortality
Immortality
Immortality","0.0-9-8
0.0-9-8
2.0-2-6
2.0-2-6
3.0-4.0-8.0","3.1439115727143263
3.0966275361744673
3.089296739460634
1.2096238422643724
3.222583340748483
1.6912097626997933
3.764112011441385","3.5711598376054825
1.203178430676258
3.708506750811858
3.1277715364577228
2.6112305691220636
1.7752373207861933
3.6510801694142927","N364/42.1
N364/42.2
N364/42.5
N364/42.5
N364/42.4
N364/42.4
N364/42.3","N364/42.1
N364/42.1
N364/42.2
N364/42.5
N364/42.4
N364/42.4
N364/42.3","221
18828
18836
18837
20261
20262
20273","319
320
18921
18928
20363
20364
20373",,False
347,2.883486687782011,4.051902085715379,3.7517844722699496,4.13128126792145,1.895516344651516,3.9445626693397537,0.9240167900610984,0.09644837886242763,5.0,3.0,415.0,N382/69,,,False,N382/69,"N382/69.1
N382/69.1
N382/69.1
N382/69.1
N382/69.1
N382/69.1
N382/69.1
N382/69.1
N382/69.1
N382/69.1
N382/69.1
N382/69.1
N382/69.1
N382/69.1
N382/69.1","Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality","3.0-4.0-7.0
3.0-4.0-7.0
6.0-12.0-1.0
6.0-12.0-1.0
6.0-12.0-1.0
6.0-12.0-1.0
6.0-12.0-1.0
6.0-12.0-1.0
6.0-12.0-1.0
6.0-12.0-1.0
6.0-12.0-1.0
6.0-12.0-1.0
6.0-12.0-1.0
6.0-12.0-1.0
6.0-12.0-1.0","3.121978174790044
3.7244284088494926
1.9237260383490533
3.7517844722699496
1.8955163446515157","3.9445626693397537
4.079862319884933
4.13128126792145","N382/69.1
N382/69.2
N382/69.2
N382/69.3
N382/69.3","N382/69.1
N382/69.2
N382/69.3","431
18829
18830
18839
18840","524
18922
18930",,False
406,3.3803443834424414,3.1667438530007233,4.0790452914611315,3.84497185921428,1.3236568905614663,1.2335731540068946,1.3711985466459533,1.2890073450096593,4.0,4.0,421.0,N451/73,,,False,N451/73,"N451/73.1
N451/73.1","Immortality
Immortality","3.0-5.0-11.0
3.0-5.0-11.0","4.079045291461131
4.072494012745722
4.046181339001446
1.3236568905614663","3.8449718592142803
3.7985190072715738
3.7899113915101417
1.2335731540068946","N451/73.1
N451/73.1
N451/73.3
N451/73.3","N451/73.1
N451/73.1
N451/73.3
N451/73.3","467
19661
20823
20824","563
19750
20914
20915",,False
414,4.142451460249736,4.041933235212095,4.2978416979375895,4.105696613196973,4.038135035207391,3.9751451424681177,0.13717976680336605,0.06532827337299861,3.0,3.0,422.0,N458/10,,,False,N458/10,"N458/10.4.1
N458/10.4.1
N458/10.4.1
N458/10.4.1
N458/10.4.1
N458/10.4.1
N458/10.4.1
N458/10.4.1
N458/10.4.1
N458/10.4.1
N458/10.4.1
N458/10.4.1
N458/10.4.1","Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality","2.0-2-10
2.0-2-10
2.0-3-3
2.0-3-3
2.0-3-3
2.0-3-3
2.0-3-3
2.0-3-3
2.0-3-3
2.0-3-3
2.0-3-3
5.0-16.0-4.0
5.0-16.0-4.0","4.091377647604225
4.038135035207391
4.29784169793759","4.044957949971193
3.9751451424681177
4.105696613196973","N458/10.4.1
N458/10.4.1
N458/10.4.5","N458/10.4.1
N458/10.4.1
N458/10.4.5","229
19702
20475","328
19793
20564",,False
417,4.129505604023383,3.082482614691821,4.246870903732075,3.292361181393044,4.04666657198587,2.919585619327313,0.10447244125587662,0.19077697961836296,3.0,3.0,423.0,N460/19,,,False,N460/19,"N460/19.10.1
N460/19.10.1
N460/19.10.1
N460/19.10.1
N460/19.10.1
N460/19.10.1","Immortality
Immortality
Immortality
Immortality
Immortality
Immortality","2.0-2-10
2.0-2-10
2.0-2-10
2.0-2-10
3.0-4.0-8.0
3.0-4.0-8.0","4.094979336352203
4.04666657198587
4.246870903732075","3.0355010433551066
3.2923611813930433
2.9195856193273135","N460/19.10.1
N460/19.10.1
N460/19.10.2","N460/19.10.1
N460/19.10.1
N460/19.10.2","220
19703
20458","318
19794
20545",,False
428,3.2193839011215424,3.0351226438850176,4.092234176464801,3.854683832944308,0.6995220859201229,0.6720542738572302,1.6801440527442946,1.5755474104633331,4.0,4.0,424.0,N473/36,,,False,N473/36,"N473/36.3
N473/36.3","Immortality
Immortality","7.0-6.0-5.0
7.0-6.0-5.0","4.092234176464801
4.023428982135573
0.699522085920123
4.062350359965674","3.812752243407085
3.801000225331448
0.6720542738572302
3.8546838329443083","N473/36.3
N473/36.1
N473/36.1
N473/36.3","N473/36.3
N473/36.1
N473/36.1
N473/36.3","17434
19435
19436
20300","17470
19566
19567
20400",,False
