Comments	Priority	Code	scFv ID	Status 061923	Year completed	gBlock set	Plasmid	Code	Best	Notes									
	193	S-152	N212A/34	Passed validation via COS-IF 6/14/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	152											
	70	S-153	L24/18	Failed via COS-IF 6/29/22	3	3	pcDNA3.4	153											
	62	S-154	K60/73	Passed validation via brain IHC  6/20/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	154											
	194	S-155	L80/21	Failed via COS-IF 6/29/22	3	3	pcDNA3.4	155											
	224	S-156	N219/5	TC Supes Collected 25-May-22, Failed via COS-IF (6/14/22)	3	3	pcDNA3.4	156											
	134	S-157	N398A/34	Passed validation via brain IHC  6/23/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	157											
	142	S-158	N421A/85	Failed via IHC 6/27/22	3	3	pcDNA3.4	158											
	100	S-159	N72/16	Failed via COS-IF 6/13/22	3	3	pcDNA3.4	159											
	Not ranked	S-160	L130/1	Passed validation via COS-IF 6/13/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	160											
	137	S-161	N100/13	Passed validation via Protein ELISA 6/29/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	161											
	115	S-162	N245/1	Failed via IHC 6/27/22	3	3	pcDNA3.4	162											
	466	S-163	N483/84	Passed validation via COS-IF 6/29/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	163											
	225	S-164	N225A/10	Passed validation via COS-IF 6/13/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	164											
	65	S-165	N106/20	Passed validation via brain IHC 6/26/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	165											
	127	S-166	K73/20	Failed via COS-IF 6/27/22	3	3	pcDNA3.4	166											
	133	S-167	N125/10	Passed validation via COS-IF 6/13/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	167											
	66	S-168	N22/21	Passed validation via COS-IF 6/13/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	168											
	164	S-169	N399/19	Passed validation via brain IHC  6/20/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	169											
	148	S-170	N46/30	Failed via COS-IF 6/13/22	3	3	pcDNA3.4	170											
	101	S-171	N81/2	Failed via COS-IF 6/13/22	3	3	pcDNA3.4	171											
		S-172	L131/17.1	Passed validation via HEK-IF 6/20/22 and protein ELISA 6/29/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	172											
	90	S-173	N105/13	Passed validation via brain IHC  6/20/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	173											
	139	S-174	N245/36	Failed via COS-IF 6/13/22	3	3	pcDNA3.4	174											
	Not ranked	S-175	N486/76	Passed validation via COS-IF 6/13/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	175											
	244	S-176	N229A/32	Failed via COS-IF 6/13/22	3	3	pcDNA3.4	176											
	55	S-177	N144/14	TC Supes Collected 07-Jun-22, awaiting validation		3	pcDNA3.4	177											
	150	S-178	K96/7	Passed validation via brain IHC  6/20/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	178											
	112	S-179	N152B/23	TC Supes Collected 07-Jun-22, validation in progress (inconclusive 2x), IHC 13-June-23 inconclusive		3	pcDNA3.4	179											
	161	S-180	N294A/10	Failed via COS-IF 6/13/22	3	3	pcDNA3.4	180											
	128	S-181	N39B/8	Failed via COS-IF 6/13/22	3	3	pcDNA3.4	181											
	218	S-182	N49A/21	Failed via COS-IF 6/13/22	3	3	pcDNA3.4	182											
investigate/redo evaluation	110	S-183	1F1	Failed via COS-IF 6/5/23	4	3	pcDNA3.4	183											
		S-184	L131/20.1	Passed validation via HEK-IF 6/20/22 and protein ELISA 6/29/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	184											
	79	S-185	N105/17	Passed validation via brain IHC 6/26/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	185											
	131	S-186	N319A/14	Failed via COS-IF 2/24/23	4	3	pcDNA3.4	186											
	94	S-187	N75/33	Failed via IHC 6/27/22	3	3	pcDNA3.4	187											
	185	S-188	N238/31	Failed via COS-IF 6/13/22	3	3	pcDNA3.4	188											
	44	S-189	N221/17	Passed validation via COS-IF 6/13/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	189											
	222	S-190	L102/45	Failed via IHC 6/20/22	3	3	pcDNA3.4	190											
	181	S-191	N154/32	Failed via COS-IF 6/13/22	3	3	pcDNA3.4	191											
	226	S-192	N327A/38	Failed via IHC 6/26/22	3	3	pcDNA3.4	192											
	191	S-193	N4/15	Failed via COS-IF 6/13/22	3	3	pcDNA3.4	193											
	196	S-194	N53/32	Passed validation via COS-IF 6/13/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	194											
	69	S-195	K56A/50	Passed validation via COS-IF 6/13/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	195											
		S-196	L131/27.2	Passed validation via Protein ELISA 6/29/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	196											
	129	S-197	N141/28	Failed via COS-IF 6/13/22	3	3	pcDNA3.4	197											
	119	S-198	N332B/15	Failed via COS-IF 6/13/22	3	3	pcDNA3.4	198											
	169	S-199	N126B/31	Passed validation via COS-IF 6/13/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	199											
	172	S-200	N25/35	Failed via COS-IF 6/13/22	3	3	pcDNA3.4	200											
	73	S-201	N23B/6	Passed validation via COS-IF 6/13/22, shipped to Addgene 8/11/22	3	3		201											
	197	S-202	L45/30	Failed via IHC 6/30/22	3	3	pcDNA3.4	202											
	136	S-203	N18/28	Passed validation via IHC 6/30/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	203											
investigate/redo evaluation	209	S-204	N343/26	TC Supes Collected 07-Jun-22, validation in progress (inconclusive)		3	pcDNA3.4	204											
	195	S-205	N408/79	Failed via IHC 6/20/22	3	3	pcDNA3.4	205											
	104	S-206	N55/10	Failed via IHC 6/30/22	3	3	pcDNA3.4	206											
		S-207	K89/41.2	Passed validation via brain IHC 6/26/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	207											
		S-208	L57/23.1	Failed via COS-IF 6/27/22	3	3	pcDNA3.4	208											
	141	S-209	N15/4	Failed via COS-IF 2/24/23	4	3	pcDNA3.4	209											
	121	S-210	N375/67	Passed validation via brain IHC  6/20/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	210											
		S-211	N144/32	Passed validation via COS-IF 6/13/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	211											
	238	S-212	N366/60	Passed validation via brain IHC  6/20/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	212											
	114	S-213	N271/44	Failed via IHC 6/20/22	3	3	pcDNA3.4	213											
	125	S-214	L48A/9	Passed validation via COS-IF 6/27/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	214											
	135	S-215	N183/15	Passed validation via COS-IF 6/27/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	215											
	198	S-216	N363/71	Passed validation via IHC 6/30/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	216											
	195	S-217	N408/79v2	Failed via IHC 062622	3	3	pcDNA3.4	217											
	144	S-218	N6/38	Failed via IHC 062622	3	3	pcDNA3.4	218											
	277	S-219	L106/83	Failed via IHC 062622	3	3	pcDNA3.4	219											
		S-220	L61C/30	Passed validation via brain IHC  6/20/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	220											
	80	S-221	N159/5	Passed validation via COS-IF 6/27/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	221											
	122	S-222	N37A/10	Failed via COS-IF 6/27/22	3	3	pcDNA3.4	222											
	241	S-223	N158/28	Failed via COS-IF 6/27/22	3	3	pcDNA3.4	223											
	243	S-224	N384/63	Failed via COS-IF 6/27/22	3	3	pcDNA3.4	224											
	78	S-225	N393/76	Transfected 6/8/22, COS-IF set 22 inconclusive		3	pcDNA3.4	225											
	206	S-226	L71/5	Passed validation via COS-IF 6/27/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	226											
	163	S-227	N185/7	Transfected 6/8/22, COS-IF inconclusive ,Protein ELISA positive 6/27/23,  pending to Addgene	4	3	pcDNA3.4	227											
	202	S-228	N372B/1	Passed validation via brain IHC  6/20/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	228											
	211	S-229	N410/17	Failed via COS-IF 6/27/22	3	3	pcDNA3.4	229											
	213	S-230	N64A/36	Failed via IHC 6/27/22	3	3	pcDNA3.4	230											
investigate/redo evaluation	424	S-231	L125/121	COS-IF inconclusive 6/27/22, IHC Positive 6/13/23	3	3	pcDNA3.4	231											
	342	S-232	L83/11	Passed validation via COS-IF 6/27/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	232											
	131	S-233	N186/29	Failed via IHC 6/30/22	3	3	pcDNA3.4	233											
	81	S-234	N38/8	COS-IF inconclusive 6/27/22, IHC inconclusive 6/13/23		3	pcDNA3.4	234											
	230	S-235	N209C/35	Failed via COS-IF 6/27/22	3	3	pcDNA3.4	235											
	245	S-236	N396/29	Failed via COS-IF 6/27/22	3	3	pcDNA3.4	236											
	167	S-237	N50/36	Failed via COS-IF 6/27/22	3	3	pcDNA3.4	237											
		S-238	K56A/57	Passed validation via COS-IF 6/27/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	238											
	94	S-239	N75/3	COS-IF inconclusive 6/27/22, IHC negative 13-June-23		3	pcDNA3.4	239											
	268	S-240	N15/39	Failed via COS-IF 6/27/22	3	3	pcDNA3.4	240											
		S-241	K28/25	Failed via COS-IF 6/27/22	3	3	pcDNA3.4	241											
	252	S-242	N170A/26	Passed validation via COS-IF 1/25/23, shipped to Addgene 3/9/23	4	3	pcDNA3.4	242	242C										
		S-243	K28/27	Failed via COS-IF 6/27/22	3	3	pcDNA3.4	243											
	271	S-244	N270/47	Passed validation via COS-IF 6/27/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	244											
		S-245	K28/38	Passed validation via COS-IF 6/27/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	245											
	270	S-246	N302/10	Failed via IHC 062622	3	3	pcDNA3.4	246											
		S-247	K28/42	Passed validation via COS-IF 6/27/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	247											
		S-248	L58A/6	Failed via IHC 062622, Failed via COS-IF 6/29/22	3	3	pcDNA3.4	248											
		S-249	K28/58	Failed via COS-IF 6/27/22	3	3	pcDNA3.4	249											
		S-250	K28/94	Failed via COS-IF 6/27/22	3	3	pcDNA3.4	250											
	5	S-251	N86/8VL-VH	Passed validation via COS-IF 10/28/22,  shipped to Addgene 3/9/23	4	4	pcDNA3.4	251											
	47	S-252	K67/25VL-VH	Failed via COS-IF  10/28/22	4	4	pcDNA3.4	252											
	2	S-253	N106/36(VL2)VH-VL	Failed via IHC 10/10/22	4	4	pcDNA3.4	253											
	6	S-254	L21/32VL-VH	Failed via COS-IF  10/28/22	4	4	pcDNA3.4	254											
	48	S-255	N71/37VL-VH	Failed via COS-IF  10/28/22	4	4	pcDNA3.4	255											
	8	S-256	L6/60VL-VH	Passed validation via IHC 10/10/22, shipped to Addgene 3/9/23	4	4	pcDNA3.4	256											
	56	S-257	N87/25VL-VH	Failed via COS-IF  10/28/22	4	4	pcDNA3.4	257											
try as VL-VH	22	S-258	N95/35VL-VH	Passed validation via IHC 10/10/22, shipped to Addgene 3/9/23	4	4	pcDNA3.4	258											
	16	S-259	N112B/14VL-VH	Passed validation via COS-IF 10/28/22, shipped to Addgene 3/9/23	4	4	pcDNA3.4	259											
	24	S-260	N206A/8VL-VH	Failed via COS-IF  10/28/22	4	4	pcDNA3.4	260											
	43	S-261	K55/7(VL1)VL-VH	Failed via COS-IF  10/28/22	4	4	pcDNA3.4	261											
	34	S-262	L57/46VL-VH	Failed via COS-IF  10/28/22	4	4	pcDNA3.4	262											
	50	S-263	N19/2VL-VH	Failed via COS-IF  10/28/22	4	4	pcDNA3.4	263		wrong VL sequence in gblock									
	42	S-264	K28/86VL-VH	Failed via COS-IF  10/28/22	4	4	pcDNA3.4	264											
	2	S-265	N106/36(VL2)VL-VH	Passed validation via IHC 10/10/22, shipped to Addgene 3/9/23	4	4	pcDNA3.4	265											
	45	S-266	N377/20VL-VH	Passed validation via COS-IF 2/24/23, pending to Addgene	4	4	pcDNA3.4	266										Inconclusive 	Category 5
	50	S-267	N19/2VH-VL	Failed via COS-IF  10/28/22	4	4	pcDNA3.4	267		wrong VL sequence in gblock									
redo GA	28	S-268	N70/28	Failed via sequencing 09-Dec-22		1a	pcDNA3.1	268											
investigate/redo evaluation	11	S-269	N308/48	inconclusive by COS-IF 1/15/23		1a	pcDNA3.1	269											
	23	S-270	N327/95	Failed via COS-IF 1/25/23	4	1a	pcDNA3.1	270											
investigate/redo evaluation	26	S-271	K36/15	inconclusive by COS-IF 1/15/23		1a	pcDNA3.1	271											
	45	S-272	N377/20	Passed validation via COS-IF 2/2/23, shipped to Addgene 3/9/23	4	1a	pcDNA3.1	272	272C										
	30	S-273	N16B/8	Passed validation via COS-IF 2/2/23, shipped to Addgene 3/9/23	4	1a	pcDNA3.1	273	All same										
	24	S-274	N206A/8	Passed validation via COS-IF 2/2/23, shipped to Addgene 3/9/23	4	1a	pcDNA3.1	274	274B										
