,Priority,Clone,2012-2019 Total,Process,Status 081623,Year completed,R-mAb gBlocks,GA number,Isotype switch to IgG2b status,BG note
investigate,,L118/103,,Neuromabseq inhouse cloning,"TC Supes collected, failed validation via IB 3/18/22",3,Set 6,261,,
investigate,,D4/49,,Neuromabseq inhouse cloning,"TC Supes collected 07-Mar-22, failed validation via IB on 15Mar2022",3,Set 6,263,,
investigate,,K56A/95,,Neuromabseq inhouse cloning,"TC Supes collected 28-Mar-22, failed validation via IB 4/20/22",3,Set 6,269,,
investigate,276,K88/64,,Neuromabseq inhouse cloning,"TC Supes collected 16-May-22, negative via IB 5/17/22",3,Set 7,304,,
investigate,,N114/6,,Neuromabseq inhouse cloning,failed valadation via COS-IF 5/9/23 with re-transfected RmAb supes (both sets failed),4,Set 9,355,,
investigate,,L57/9 VL1,,Neuromabseq inhouse cloning,"TC Supes collected 2/15/23, failed validation via COS-IF 3/2/23",4,Set 9,356,,
investigate,,L57/9 VL2,,Neuromabseq inhouse cloning,"TC Supes collected 2/17/23, failed validation via COS-IF 3/2/23",4,Set 9,357,,
investigate,,N399/68,,Neuromabseq inhouse cloning,"TC Supes collected 2/22/23, failed validation via COS-IF 3/2/23, failed validation via COS-IF 5/9/23 with re-transfected RmAb supes ",4,Set 9,374,,
investigate,,L108/72,,Neuromabseq inhouse cloning,"GA done 2/1/23, failed validation via IHC 3/14/23",4,Set 9,377,,
investigate,432,L123/109,0,Neuromabseq inhouse cloning,"TC Supes collected 3/27/23, Failed COS-IF 4/27/23",4,Set 10,388,,
investigate,315,N330A/51,6,Neuromabseq inhouse cloning,"TC supes collected 5/9/23, Inconclusive via IB 5/12/23, Cos-IF negative 5/18/23",4,Set 11,411,,
investigate,240,L106/93.1,15,Neuromabseq inhouse cloning,"TC Supes collected 15-May-23, negative via COS-IF 5/18/23",4,Set 11,419,,should be prioritized higher
investigate,,L106/93.3,,Neuromabseq inhouse cloning,"TC Supes collected 15May2023, failed validation via COS-IF 5/19/23",4,Set 11,420,,
investigate,340,N193A/13,4,Neuromabseq inhouse cloning,"Supes collected 6/6/23, Failed via Cos-IF 6/8/23",4,Set 12,427,,
Investigate,74,N196/16,104,Andrews method,At Addgene 7/20/18,NA,NA,,,
Investigate,75,N419/40,104,Andrews method,At Addgene 7/20/18,NA,NA,,,
Investigate,87,N168/6,83,Andrews method,At Addgene 7/20/18,NA,NA,,,
Investigate,107,N212/17,70,Andrews method,At Addgene 7/20/18,NA,NA,,,
Investigate,109,N8B/1,70,Andrews method,At Addgene 4/22/20,NA,NA,,,
investigate,219,N153/5,20,Andrews method,At Addgene 7/20/18,NA,NA,,,
investigate,476,N180/41,,Andrews method,"DNA found, failed sequencing check",,,,,
investigate/do evaluation,,N486/76.1,,Neuromabseq inhouse cloning,"Passed validation via IB 5/11/21, passed COS-IF 06/18/21, shipped to Addgene 9/27/21",2,Set 3,103,,
investigate/do evaluation,,L130/1,,Neuromabseq inhouse cloning,"Passed validation via IHC 6/8/21, shipped to Addgene 9/27/21",2,Set 3,120,,
investigate/do evaluation,299,L94/54,7,Andrews method,"Passed validation via IHC 4/22/21, shipped to Addgene 8/11/22",2,,,,
investigate/redo evaluation,230,N40B/18,18,Andrews method,"DNA found, passed validation via IB 4/15/21, shipped to Addgene 9/27/21",NA,NA,,,
investigate/redo evaluation,382,N328B/37,2,Andrews method,At Addgene 7/20/18,NA,NA,,,
investigate/redo evalution,254,N411/51,14,Neuromabseq inhouse cloning,"Passed validation via IHC 04/14/22 shipped to Addgene 6/27/22
",3,Set 5,204,,
not needed,452,N452/73,0,Neuromabseq inhouse cloning,"Passed validation via CCN CHN-IF 6/25/21, shipped to Addgene 9/27/21",2,Set 3,128,,should be prioritized higher
not needed,467,N483/84,0,Neuromabseq inhouse cloning,"Passed validation via IB 5/21/21, shipped to Addgene 9/27/21",2,Set 3,131,,should be prioritized higher
not needed,97,N10/7,76,Neuromabseq inhouse cloning,"Passed validation via IB 5/28/21, shipped to Addgene 9/27/21",2,Set 3,142,,
not needed,,L131/20,,Neuromabseq inhouse cloning,"Passed validation via IB 5/28/21, shipped to Addgene 9/27/21",2,Set 3,160,,
not needed,252,N170A/26,14,Neuromabseq inhouse cloning,"Passed validation via COS-IF 2/22/22, shipped to Addgene 6/27/22",3,Set 5,198,,
not needed,,L107/93,,Neuromabseq inhouse cloning,"Passed validation via IB 5/12/23, shipped to Addgene 7/27/23",4,Set 6,253,,
not needed,302,N259/48,7,Neuromabseq inhouse cloning,TC supes collected 6/12/23,,Set 12,451,,
not needed,35,N106/65,218,Andrews method,"DNA found, passed sequencing check, pending validation",,,Passed as GA212,This has passed already,
not needed,4,N295B/66,775,Andrews method,At Addgene 2/7/20,NA,NA,,Completed,
not needed,7,N86/38,578,Andrews method,At Addgene 7/20/18,NA,NA,,Completed,
not needed,120,L51/82,57,Andrews method,At Addgene 4/22/20,NA,NA,,,
not needed,259,N94/17,13,Andrews method,At Addgene 7/20/18,NA,NA,,,
not needed,260,K72/8,12,Andrews method,At Addgene 2/7/20,NA,NA,,,
not needed,394,EA7,1,,restricted,,,,,
not needed,435,N175/9,0,,,,,,,
not needed,,N194/11,,,"do not pursue in set 11, passed as R-370",,Set 11,,,
not needed as GA422 passed,33,K69/3,223,Andrews method,"DNA found, passed sequencing check, pending validation, not needed as GA387 passed ",,,not needed as GA387 passed,,
redo cloning,,D4/11,,Neuromabseq inhouse cloning,"Passed validation via IB 3/15/22, shipped to Addgene 6/27/22",3,Set 6,262,,
,5,N86/8,637,Neuromabseq inhouse cloning,"Passed validation via COS-IF 06/18/21, shipped to Addgene 9/27/21",2,Set 1,1,Completed,
,8,L6/60,519,Neuromabseq inhouse cloning,"Passed validation via IB 3/26/21, shipped to Addgene 9/27/21",2,Set 1,2,Completed,
,17,N68/6,416,Neuromabseq inhouse cloning,"Passed validation via HEK-IF 6/23/21, shipped to Addgene 9/27/21",2,Set 1,3,Completed,
,55,N144/14,148,Neuromabseq inhouse cloning,"Passed validation via ELISA, shipped to Addgene 9/27/21",2,Set 1,4,,
,6,L21/32,627,Neuromabseq inhouse cloning,"Passed validation via IB 2/26/21, shipped to Addgene 9/27/21",2,Set 1,5,Completed,
,11,N308/48,465,Neuromabseq inhouse cloning,"Passed validation via IB 2/26/21, shipped to Addgene 9/27/21",2,Set 1,6,Completed,
,12,N59/20,452,Neuromabseq inhouse cloning,"Passed validation via IB 6/4/21, shipped to Addgene 9/27/21, reshipped 6/27/22",2,Set 1,7,Completed,
,19,A12/18,381,Neuromabseq inhouse cloning,"Passed validation, shipped to Addgene 9/27/21",2,Set 1,8,Completed,
,48,N71/37,172,Neuromabseq inhouse cloning,"Passed validation via IB 3/26/21, shipped to Addgene 9/27/21",2,Set 1,9,,
,24,N206A/8,330,Neuromabseq inhouse cloning,"Passed validation via IB 3/23/21, shipped to Addgene 9/27/21",2,Set 1,10,Completed,
,47,K67/25,175,Neuromabseq inhouse cloning,"Passed validation via IB 3/26/21, shipped to Addgene 9/27/21",2,Set 1,11,,
,42,K28/86,186,Neuromabseq inhouse cloning,"Passed validation via IB 3/26/21, shipped to Addgene 9/27/21",2,Set 1,12,,
,114,N271/44,62,Neuromabseq inhouse cloning,"Passed validation via IB 3/26/21, shipped to Addgene 9/27/21",2,Set 1,13,,
,44,N221/17,182,Neuromabseq inhouse cloning,"Passed validation via IB 4/9/21, shipped to Addgene 9/27/21",2,Set 1,14,,
,22,N95/35,347,Neuromabseq inhouse cloning,"Passed validation via IB 3/26/21, shipped to Addgene 9/27/21",2,Set 1,15,,
,103,N56/21,73,Neuromabseq inhouse cloning,"Passed validation via CCN CHN-IF 6/25/21, shipped to Addgene 9/27/21",2,Set 1,16,,
,78,N393/76,99,Neuromabseq inhouse cloning,"Passed validation via IB 4/9/21, shipped to Addgene 9/27/21",2,Set 1,17,,
,56,N87/25,147,Neuromabseq inhouse cloning,"Passed validation via IB 3/26/21, shipped to Addgene 9/27/21",2,"Set 1, 2",18,31,
,63,N263/31,134,Neuromabseq inhouse cloning,"Passed validation via IB 4/15/21, shipped to Addgene 9/27/21",2,Set 1,19,Completed,
,49,N367/62,169,Neuromabseq inhouse cloning,"Passed validation via IB 4/9/21, shipped to Addgene 9/27/21",2,Set 1,20,,
,29,N1/12,247,Neuromabseq inhouse cloning,"Passed validation via IB 4/15/21, shipped to Addgene 9/27/21",2,Set 1,21,,
,73,N23B/6,108,Neuromabseq inhouse cloning,"Passed validation via IB 4/9/21, shipped to Addgene 9/27/21",2,Set 1,22,,
,34,L57/46,222,Neuromabseq inhouse cloning,"Passed validation via COS-IF 4/17/21, shipped to Addgene 9/27/21",2,Set 1,23,Completed,
,67,N26A/23,126,Neuromabseq inhouse cloning,"Passed validation via IB 4/9/21, shipped to Addgene 9/27/21",2,"Set 1, 2",24,,
,45,N377/20,177,Neuromabseq inhouse cloning,"Passed validation via IB 5/28/21, shipped to Addgene 9/27/21",2,Set 1,25,,
,64,K28/74,132,Neuromabseq inhouse cloning,"Passed validation via IB 4/9/21, shipped to Addgene 9/27/21",2,Set 1,26,,
,65,N106/20,131,Neuromabseq inhouse cloning,"Passed validation via IB 4/9/21, shipped to Addgene 9/27/21",2,Set 1,27,,
,70,L24/18,110,Neuromabseq inhouse cloning,"Passed validation via IB 4/9/21, shipped to Addgene 1/27/22",2,Set 1,29,,
,16,N112B/14,418,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/19/21, shipped to Addgene 9/27/21",2,Set 2,30,Completed,
,58,L23/27,145,Neuromabseq inhouse cloning,"Passed validation via IB 6/4/21, shipped to Addgene 9/27/21",2,Set 2,32,,
,59,N74/25,145,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/25/21, shipped to Addgene 9/27/21",2,Set 2,33,,
,60,N138/6,144,Neuromabseq inhouse cloning,"Passed validation via IB 11/5/21, shipped to Addgene 1/27/2022",3,Set 2,34,,
,61,N18/30,136,Neuromabseq inhouse cloning,"Passed validation via IB 4/27/21, shipped to Addgene 9/27/21",2,Set 2,35,,
,66,N22/21,131,Neuromabseq inhouse cloning,"Passed validation via IB 5/11/21, shipped to Addgene 9/27/21",2,Set 2,36,,
,68,N67/15,126,Neuromabseq inhouse cloning,"Passed validation via IB 11/19/21, shipped to Addgene 01/27/2022",3,Set 2,37,,
,99,N43/6,76,Neuromabseq inhouse cloning,"Passed validation via IB 5/13/21, shipped to Addgene 9/27/21",2,Set 2,38,,
,100,N72/16,75,Neuromabseq inhouse cloning,"Passed validation via IB 4/30/21, shipped to Addgene 9/27/21",2,Set 2,39,,
,101,N81/2,75,Neuromabseq inhouse cloning,"Passed validation via IB 4/30/21, shipped to Addgene 9/27/21",2,Set 2,40,,
,104,N55/10,71,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/25/21, shipped to Addgene 9/27/21",2,Set 2,41,,
,108,N77/15,70,Neuromabseq inhouse cloning,"Passed validation via COS-IF 5/25/23, shipped to Addgene 7/27/23",4,Set 2,42,,
,112,N152B/23,65,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/25/21, shipped to Addgene 9/27/21",2,Set 2,43,,
,125,L48A/9,54,Neuromabseq inhouse cloning,"Passed validation via IB 5/11/21, shipped to Addgene 9/27/21",2,Set 2,44,,
,126,N207/27,54,Neuromabseq inhouse cloning,"Passed validation via IB 4/27/21, shipped to Addgene 9/27/21",2,Set 2,45,,
,128,N141/28,50,Neuromabseq inhouse cloning,"Passed validation via IB 5/11/21, shipped to Addgene 9/27/21",2,Set 3,47,,
,132,N39B/8,50,Neuromabseq inhouse cloning,"Passed validation via IB 5/11/21, shipped to Addgene 9/27/21",2,Set 2,48,,
,134,N398A/34,49,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/25/21, shipped to Addgene 9/27/21",2,Set 2,50,,
,135,N183/15,48,Neuromabseq inhouse cloning,"Passed validation via IB 5/11/21, shipped to Addgene 9/27/21",2,Set 2,51,,
,136,N18/28,46,Neuromabseq inhouse cloning,"Passed validation via IB 4/30/21, shipped to Addgene 9/27/21",2,Set 2,52,,
,142,N421A/85,43,Neuromabseq inhouse cloning,"Passed validation via COS-IF 06/18/21, shipped to Addgene 9/27/21",2,Set 2,53,,
,146,N6/38,42,Neuromabseq inhouse cloning,"Passed validation via IHC 11/2/21, shipped to Addgene 01/27/2022",3,Set 2,54,,
,148,L76/36,41,Neuromabseq inhouse cloning,"Passed validation via IB 4/27/21, shipped to Addgene 9/27/21",2,Set 2,55,,
,149,N46/30,41,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/25/21, shipped to Addgene 9/27/21",2,Set 2,56,,
,150,K96/7,40,Neuromabseq inhouse cloning,"Passed validation via IB 10/20/21 , shipped to Addgene 01/27/2022, reshipped 6/27/22

",3,Set 2,57,,
,154,N393/2,40,Neuromabseq inhouse cloning,"Passed validation via IB 4/30/21, shipped to Addgene 9/27/21",2,Set 2,58,,
,155,N57/2,40,Neuromabseq inhouse cloning,"Passed validation via IB 4/30/21, shipped to Addgene 9/27/21",2,Set 2,59,,
,156,K55/82,39,Neuromabseq inhouse cloning,"Passed validation via IB 4/27/21, shipped to Addgene 9/27/21",2,Set 2,60,,
,171,N91/27,33,Andrews method,At Addgene 7/20/18,NA,NA,61,,
,163,N185/7,37,Neuromabseq inhouse cloning,"Passed validation via IB 4/27/21, shipped to Addgene 9/27/21",2,Set 2,62,,
,164,N399/19,37,Neuromabseq inhouse cloning,"Passed validation via IB 5/13/21, shipped to Addgene 9/27/21",2,Set 2,63,,
,165,N414/25,36,Neuromabseq inhouse cloning,"Passed validation via IB 4/30/21, shipped to Addgene 9/27/21",2,Set 2,64,,
,169,N275/14,33,Neuromabseq inhouse cloning,"Passed validation via IB 4/27/21, shipped to Addgene 9/27/21",2,Set 2,65,,
,172,K78/29,32,Neuromabseq inhouse cloning,"Passed validation via IB 4/27/21, shipped to Addgene 9/27/21",2,Set 2,66,,
,173,N129/15,32,Neuromabseq inhouse cloning,"Passed validation via COS-IF 06/18/21, shipped to Addgene 9/27/21",2,Set 2,67,,
,175,N283/7,32,Neuromabseq inhouse cloning,"Passed validation via IB 5/13/21, shipped to Addgene 9/27/21",2,Set 2,68,,
,177,N422/18,31,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/25/21, shipped to Addgene 9/27/21",2,Set 2,69,,
,178,N165/38,30,Neuromabseq inhouse cloning,"Passed validation via IB 4/27/21, shipped to Addgene 9/27/21",2,Set 2,70,,
,179,N212/7,30,Neuromabseq inhouse cloning,"Passed validation via IB 5/13/21, shipped to Addgene 9/27/21",2,Set 2,71,,
,181,K47/42,29,Neuromabseq inhouse cloning,"Passed validation via IB 6/25/21, shipped to Addgene 9/27/21",2,Set 2,72,,
,182,N154/32,29,Neuromabseq inhouse cloning,"Passed validation via COS-IF 2/22/22, shipped to Addgene 6/27/22",3,Set 2,73,,
,188,N191/7,27,Neuromabseq inhouse cloning,"Passed validation via COS-IF 06/18/21, shipped to Addgene 9/27/21",2,Set 2,74,,
,194,N4/15,26,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/25/21, shipped to Addgene 9/27/21",2,Set 2,75,,
,195,N408/79,26,Neuromabseq inhouse cloning,"Passed validation via IB 5/13/21, shipped to Addgene 9/27/21",2,Set 2,76,77 v2,
,195,N408/79v2,26,Neuromabseq inhouse cloning,"Passed validation via COS-IF 06/18/21, shipped to Addgene 9/27/21",2,Set 2,77,,
,196,L45/30,25,Neuromabseq inhouse cloning,"Passed validation via COS-IF 06/19/21, shipped to Addgene 9/27/21",2,Set 2,78,,
,198,N363/71,25,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/25/21, shipped to Addgene 9/27/21",2,Set 2,79,,
,199,N53/32,25,Neuromabseq inhouse cloning,"Passed validation via IB 4/30/21, shipped to Addgene 9/27/21",2,Set 2,80,,
,202,N372B/1,24,Neuromabseq inhouse cloning,"Passed validation via IB 11/2/2021, shipped to Addgene 01/27/2022",3,Set 2,81,,
,203,N395/68,24,Neuromabseq inhouse cloning,Passed validation via IHC 04/14/22 shipped to Addgene 8/11/22,3,Set 2,82,,
,204,N452/69,24,Neuromabseq inhouse cloning,"Passed validation via IB 3/15/22, shipped to Addgene 8/11/22",3,Set 2,83,,
,205,L71/5,23,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/25/21, shipped to Addgene 9/27/21",2,Set 2,84,,
,208,N227/21,22,Neuromabseq inhouse cloning,"Passed validation via IHC 5/7/21, shipped to Addgene 9/27/21",2,Set 2,85,,
,209,N343/26,22,Neuromabseq inhouse cloning,"Passed validation via IB 4/27/21, shipped to Addgene 9/27/21",2,Set 2,86,,
,211,N410/17,22,Neuromabseq inhouse cloning,"Passed validation via IB 4/30/21, shipped to Addgene 9/27/21",2,Set 2,87,Completed,
,213,N161/20,21,Neuromabseq inhouse cloning,"Passed seq check, transfected, Protein ELISA positive, pending to Addgene",4,Set 2,88,,
,217,N64A/36,21,Neuromabseq inhouse cloning,Passed validation via COS-IF 02/04/22 shipped to Addgene 6/27/22,3,Set 2,89,,
,218,L102/45,20,Neuromabseq inhouse cloning,"Passed validation via IB 4/27/21, shipped to Addgene 9/27/21",2,Set 2,90,,
,221,N49A/21,20,Neuromabseq inhouse cloning,"Passed validation via COS-IF 10/15/21, shipped to Addgene 01/27/2022",3,Set 2,91,,
,224,N219/5,19,Neuromabseq inhouse cloning,"Passed validation via IB 6/4/21, shipped to Addgene 9/27/21",2,Set 2,92,,
,226,N327A/38,19,Neuromabseq inhouse cloning,"Passed validation via IB 4/27/21, shipped to Addgene 9/27/21",2,Set 2,93,,
,241,L109/57,15,Neuromabseq inhouse cloning,"Passed validation via IB 5/11/21, shipped to Addgene 9/27/21",2,Set 3,96,,should be prioritized higher
,308,L113/130,6,Neuromabseq inhouse cloning,"Passed validation via IB 6/4/21, shipped to Addgene 9/27/21",2,Set 3,97,,should be prioritized higher
,322,L115/13,5,Neuromabseq inhouse cloning,"Passed validation via CCN CHN-IF 6/25/21, shipped to Addgene 9/27/21",2,Set 3,98,,should be prioritized higher
,337,L117/1,4,Neuromabseq inhouse cloning,"Passed validation via IB 4/27/21, shipped to Addgene 9/27/21",2,Set 3,99,,should be prioritized higher
,268,L118/80,10,Neuromabseq inhouse cloning,"Passed validation via IB 6/25/21, shipped to Addgene 9/27/21",2,Set 3,100,Completed,should be prioritized higher
,401,L121/25,1,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/25/21, shipped to Addgene 9/27/21",2,Set 3,101,,should be prioritized higher
,309,L124/59,6,Neuromabseq inhouse cloning,"Passed validation via IHC 5/26/21, shipped to Addgene 9/27/21",2,Set 3,102,,should be prioritized higher
,283,L106/4,8,Neuromabseq inhouse cloning,"Passed validation via IB 4/27/21, shipped to Addgene 9/27/21",2,Set 3,104,,should be prioritized higher
,323,L121/42,5,Neuromabseq inhouse cloning,"Passed validation via IB 4/27/21, shipped to Addgene 9/27/21",2,Set 3,105,,should be prioritized higher
,367,L113/13,2,Neuromabseq inhouse cloning,"Passed validation via IB 5/11/21, shipped to Addgene 9/27/21",2,Set 3,106,,should be prioritized higher
,395,L107/39,1,Neuromabseq inhouse cloning,"Passed validation via IB 5/11/21, shipped to Addgene 9/27/21",2,Set 3,107,,should be prioritized higher
,393,N483/126,2,Neuromabseq inhouse cloning,"Passed validation via IB 5/11/21, shipped to Addgene 9/27/21",2,Set 3,108,,should be prioritized higher
,399,L119/106,1,Neuromabseq inhouse cloning,"Passed validation via IB 5/11/21, shipped to Addgene 9/27/21",2,Set 3,109,,should be prioritized higher
,402,L125/121,1,Neuromabseq inhouse cloning,"Passed validation via IB 4/27/21, shipped to Addgene 9/27/21",2,Set 3,110,,should be prioritized higher
,403,L126/93,1,Neuromabseq inhouse cloning,"Passed validation via IB 5/21/21, shipped to Addgene 9/27/21",2,Set 3,111,,should be prioritized higher
,404,L127/8,1,Neuromabseq inhouse cloning,"Passed validation via IB 5/21/21, shipped to Addgene 9/27/21",2,Set 3,112,,should be prioritized higher
,429,L120/30,0,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/25/21, shipped to Addgene 9/27/21",2,Set 3,113,,should be prioritized higher
,430,L122/6,0,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/25/21, shipped to Addgene 9/27/21",2,Set 3,114,,should be prioritized higher
,433,L125/129,0,Neuromabseq inhouse cloning,"Passed validation via IB 6/4/21, shipped to Addgene 9/27/21",2,Set 3,115,,should be prioritized higher
,468,N486/32,0,Neuromabseq inhouse cloning,"Passed validation via COS-IF 06/18/21, shipped to Addgene 9/27/21",2,Set 3,116,,should be prioritized higher
,,L127/12,,Neuromabseq inhouse cloning,"Passed validation via IB 5/28/21, shipped to Addgene 9/27/21",2,Set 3,118,,
,236,L114/3,16,Neuromabseq inhouse cloning,"Passed validation via IB 6/4/21, shipped to Addgene 9/27/21",2,Set 3,121,Completed,should be prioritized higher
,298,L114/81,7,Neuromabseq inhouse cloning,"Passed validation via IB 6/4/21, shipped to Addgene 9/27/21",2,Set 3,122,,should be prioritized higher
,397,L109/39,1,Neuromabseq inhouse cloning,"Passed validation via IB 5/21/21, shipped to Addgene 9/27/21",2,Set 3,123,,should be prioritized higher
,398,L113/27,1,Neuromabseq inhouse cloning,"Passed validation via IHC 5/26/21, shipped to Addgene 9/27/21",2,Set 3,124,,should be prioritized higher
,400,L120/12,1,Neuromabseq inhouse cloning,"Passed validation via IB 5/21/21, shipped to Addgene 9/27/21",2,Set 3,125,,should be prioritized higher
,431,L122/68,0,Neuromabseq inhouse cloning,"Passed validation via IB 5/21/21, shipped to Addgene 9/27/21",2,Set 3,127,,should be prioritized higher
,453,N452/81,0,Neuromabseq inhouse cloning,"Passed validation via CCN CHN-IF 6/25/21, shipped to Addgene 9/27/21",2,Set 3,129,,should be prioritized higher
,466,N483/26,0,Neuromabseq inhouse cloning,"Passed validation via IB 5/21/21, shipped to Addgene 9/27/21",2,Set 3,130,,should be prioritized higher
,2,N106/36 (VL1),1352,Neuromabseq inhouse cloning,No need to pursue as GA211 succeeded,,Set 6,132,,
,2,N106/36,1352,Genscript,No need to pursue as GA211 succeeded,,Set 3,132,,
,3,N241A/34,1329,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/25/21, shipped to Addgene 9/27/21",2,Set 3,133,Completed,
,50,N19/2,167,Neuromabseq inhouse cloning,"Passed validation via IB 6/4/21, shipped to Addgene 9/27/21",2,Set 3,134,,
,69,K56A/50,110,Neuromabseq inhouse cloning,"Passed validation via IB 5/21/21, shipped to Addgene 9/27/21",2,Set 3,135,,
,76,N231B/34,100,Neuromabseq inhouse cloning,"Passed validation via COS-IF 5/25/23, shipped to Addgene 7/27/23",4,Set 3,136,,
,79,N105/17,96,Neuromabseq inhouse cloning,"Passed validation via IB 5/28/21, shipped to Addgene 9/27/21",2,Set 3,137,,
,80,N159/5,95,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/25/21, shipped to Addgene 9/27/21",2,Set 3,138,,
,1,K28/43,2618,Andrews method,At Addgene 6/12/19,NA,NA,,Completed,
,81,N38/8,94,Neuromabseq inhouse cloning,"Passed validation via IB 5/28/21, shipped to Addgene 9/27/21",2,Set 3,139,,
,90,N105/13,80,Neuromabseq inhouse cloning,"Passed validation via IB 6/4/21, shipped to Addgene 9/27/21",2,Set 3,140,,
,94,N75/33,79,Neuromabseq inhouse cloning,"Passed validation via IB 5/21/21, shipped to Addgene 9/27/21",2,Set 3,141,,
,110,1F1,67,Neuromabseq inhouse cloning,"Passed validation via IB 6/25/21, shipped to Addgene 9/27/21",2,Set 3,143,,
,115,N245/1,61,Neuromabseq inhouse cloning,"Passed validation via IB 6/4/21, shipped to Addgene 9/27/21",2,Set 3,144,,
,118,N332B/15,58,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/25/21, shipped to Addgene 9/27/21",2,Set 3,145,,
,121,N375/67,57,Neuromabseq inhouse cloning,"Passed validation via IB 5/28/21, shipped to Addgene 9/27/21, reshipped 6/27/22",2,Set 3,146,,
,124,N37A/10,55,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/25/21, shipped to Addgene 9/27/21",2,Set 3,147,,
,129,N186/29,50,Neuromabseq inhouse cloning,"Passed validation via IHC 5/26/21, shipped to Addgene 9/27/21",2,Set 3,148,,
,130,N192/12,50,Neuromabseq inhouse cloning,"Passed validation via IB 4/15/21, shipped to Addgene 8/11/22",2,Set 3,149,,
,131,N319A/14,50,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/25/21, shipped to Addgene 9/27/21",2,Set 3,150,,
,137,N100/13,45,Neuromabseq inhouse cloning,"Passed validation via GST Protein ELISA 2/1/22, shipped to Addgene 6/27/22",3,Set 3,151,,
,139,N245/36,44,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/25/21, shipped to Addgene 9/27/21",2,Set 3,152,,
,141,N15/4,43,Neuromabseq inhouse cloning,"Passed validation via COS-IF 06/19/21, shipped to Addgene 9/27/21",2,Set 3,153,,
,277,L106/83,9,Neuromabseq inhouse cloning,"Passed validation via IB 10/15/21, shipped to Addgene 01/27/2022",3,Set 3,154,,should be prioritized higher
,,L57/23.1,,Neuromabseq inhouse cloning,"Passed validation via IB 5/28/21, shipped to Addgene 9/27/21",2,Set 3,155,,
