sample_name	trimmer_id	PlateName	Category	ShowOnWeb	ProteinTarget	ChangeDate	ChangeReason
None	N321C/49R	Sanger_samples	6	T	Kirrel3	20200605	
None	N323B/20R	Sanger_samples	6	T	SUR2B	20200605	
None	N326D/29R	Sanger_samples	6	T	REEP1/2	20200605	
None	N331/19R	Sanger_samples	6	T	Dopamine D3 receptor	20200605	
None	N34/34.2R	Sanger_samples	6	T	VGlut3	20200605	
None	N341/37R	Sanger_samples	6	T	LRRK1	20200605	
None	N346/9R	Sanger_samples	6	T	Stonin-2	20200605	
None	N348/82R	Sanger_samples	6	T	NSD3	20200605	
None	N351/23R	Sanger_samples	6	T	Versican	20200605	
None	N353/13R	Sanger_samples	6	T	Flrt3	20200605	
None	N355/1R	Sanger_samples	6	T	GluA1/GluR1 glutamate receptor	20200605	
None	N356/23R	Sanger_samples	6	T	SVOP	20200605	
None	N359/28R	Sanger_samples	6	T	Foxi3	20200605	
None	N388A/10R	Sanger_samples	6	T	Ankyrin-R	20200605	
None	N388A/60R	Sanger_samples	6	T	Pan-Ankyrin	20200605	
None	N413/67R	Sanger_samples	6	T	GABA(A)R, Epsilon	20200605	
None	N419/40R	Sanger_samples	6	T	Pan-Nav1 Na+ channel	20200605	
None	N419/78R	Sanger_samples	6	T	Pan-Nav1 Na+ channel	20200605	
None	N51/6.2R	Sanger_samples	6	T	NGL-3/LRRC4B	20200605	
None	N52A/42.1R	Sanger_samples	6	T	Mortalin/GRP75	20200605	
None	N59/36.1R	Sanger_samples	6	T	GluN2B/NR2B glutamate receptor	20200605	
None	N7/18.1R	Sanger_samples	6	T	Cavbeta1 Ca2+ channel	20200605	
None	N70/28R	Sanger_samples	6	T	HCN1	20200605	
None	N76/3R	Sanger_samples	6	T	Ataxin-1	20200605	
None	N76/8R	Sanger_samples	6	T	Ataxin-1	20200605	
None	N81/37.1R	Sanger_samples	6	T	GABA(B)R2	20200605	
None	N83/48R	Sanger_samples	6	T	GIT2	20200605	To be added soon
None	N84/37.1R	Sanger_samples	6	T	Laforin	20200605	
None	N85/18.1R	Sanger_samples	6	T	Malin	20200605	
None	N86/38.1R	Sanger_samples	6	T	GFP	20200605	
None	N88/12.1R	Sanger_samples	6	T	MESD	20200605	
None	N91/27.1R	Sanger_samples	6	T	FGF13/FHF2	20200605	
None	N93A/49.2R	Sanger_samples	6	T	GABA(B)R1	20200605	
None	N94/17R	Sanger_samples	6	T	FGF12/FHF1	20200605	
None	N96/55.3R	Sanger_samples	6	T	GABA(A)R, Beta1	20200605	
None	N97A/31R	Sanger_samples	6	T	Neuroligin-1	20200605	
None	N98/7R	Sanger_samples	6	T	Neuroligin-4*	20200605	To be added soon
P1_A1	positivecontrol1_N263/31.1	plate1		F		20200605	
P1_A10	N53/32.1	plate1	1	T	BKbeta2 K+ channel	20200605	
P1_A11	N57/2.4	plate1	1	T	ADAM22	20200605	
P1_A12	N72/16.1	plate1	1	T	Kv3.4 K+ channel	20200605	
P1_A2	L6/60.1	plate1	1	T	Slo1/BKAlpha maxi-K+ channel	20200605	
P1_A3	N92/14.1	plate1	1	T	FGF11/FHF3	20200605	
P1_A4	N96/55.3	plate1	1	T	GABA(A)R, Beta1	20200605	
P1_A5	N431/64.1.1	plate1	1	T	GABA(A)R, Pi	20200605	
P1_A6	N229A/32.6	plate1	1	T	GABA(A)R, Alpha6	20200605	
P1_A7	N49A/21.1	plate1	1	T	NGL-1/LRRC4C	20200605	
P1_A8	N50/36.1	plate1	1	T	NGL-2/LRRC4	20200605	
P1_A9	K55/7.1	plate1	1	T	KChIP1 K+ channel	20200605	
P1_B1	positivecontrol2	plate1		F		20200605	
P1_B10	N128A/2.1	plate1	1	T	Haspin/GSG2	20200605	
P1_B11	N167/7.4	plate1	1	T	Dicer	20200605	
P1_B12	N126B/31.1	plate1	1	T	Neuregulin-CRD (Type III)	20200605	
P1_B2	N39B/8.2	plate1	1	T	GIT1	20200605	
P1_B3	K28/86.2	plate1	1	T	Pan-MAGUK	20200605	
P1_B4	N398A/34.1	plate1	1	T	GABA(A)R, Alpha4	20200605	
P1_B5	K55/82.1	plate1	1	T	Pan-KChIP K+ channel	20200605	
P1_B6	N25/35.1	plate1	1	T	Kir2.3 K+ channel	20200605	
P1_B7	K56A/50.1	plate1	1	T	CASK	20200605	
P1_B8	N52B/27.1	plate1	1	T	SALM2/LRFN1	20200605	
P1_B9	N399/19.2	plate1	1	T	GABA(A)R, Alpha2	20200605	
P1_C1	N128A/4.1	plate1	1	T	Maltose binding protein (MBP)	20200605	
P1_C10	L57/46.1	plate1	1	T	Cav1.2/1.3 Ca2+ channel	20200605	
P1_C11	N452/73.1	plate1	1	T	GABA(A)R, Gamma2L/S	20200605	
P1_C12	L51/82.1	plate1	1	T	MMP9	20200605	
P1_C2	N161/20.2	plate1	1	T	NKCC1	20200605	
P1_C3	N175/9.6	plate1	1	T	Tauro-GM2	20200605	
P1_C4	N183/15.1	plate1	1	T	QKI-7	20200605	
P1_C5	N415/24.1	plate1	1	T	GABA(A)R, Alpha5	20200605	
P1_C6	N416/40.1.1	plate1	1	T	GluN3A/NR3A glutamate receptor	20200605	
P1_C7	L48A/9.1	plate1	1	T	Cav1.3 Ca2+ channel	20200605	
P1_C8	L62/29.1	plate1	1	T	Copper ATPase 2 (Wilson's disease protein)	20200605	
P1_C9	L11A/41.6	plate1	1	T	Pan-Neurofascin	20200605	
P1_D1	K73/20.5	plate1	1	T	Contactin/F3	20200605	
P1_D10	K37/89.5	plate1	1	T	Kv2.2 K+ channel	20200605	
P1_D11	N245/44.1	plate1	1	T	Thioredoxin	20200605	
P1_D12	N10/7.1	plate1	1	T	Cavbeta4 Ca2+ channel	20200605	
P1_D2	L45/30.4	plate1	1	T	SynCAM1	20200605	
P1_D3	L24/18.1	plate1	1	T	IP3 receptor, type 1	20200605	
P1_D4	N452/30.1	plate1	1	T	GABA(A)R, Gamma2L/S	20200605	
P1_D5	N18/30.1	plate1	1	T	PSD-93/Chapsyn-110	20200605	Corrected clone #
P1_D6	A12/18.1	plate1		F		20200605	Restricted clone, corrected clone #
P1_D7	N22/21.1	plate1	1	T	Shank1	20200605	
P1_D8	K67/25.4	plate1	1	T	CASPR2	20200605	
P1_D9	N452/81.1.3	plate1	2	T	GABA(A)R, Gamma2L/S	20200605	
P1_E1	L21/32.1	plate1	1	T	GluA2/GluR2 glutamate receptor	20200605	
P1_E10	N46/30.1	plate1	1	T	ADAM22	20200605	
P1_E11	N74/25.2	plate1	1	T	TrpM7	20200605	
P1_E12	N77/15.1	plate1	1	T	TrpC4	20200605	
P1_E2	N65/37.1	plate1	1	T	Ataxin-1	20200605	
P1_E3	N152B/23.3	plate1	1	T	VDAC1	20200605	
P1_E4	N160/21.1	plate1	1	T	SynDIG3/Tmem91	20200605	
P1_E5	N64A/36.1	plate1	1	T	TrpC7	20200605	
P1_E6	D4/11.2	plate1	2	T	Kv2.1 K+ channel	20200605	
P1_E7	N155/9.2	plate1	1	T	Uncx	20200605	
P1_E8	N68/6.3	plate1	1	T	Nav1.7 Na+ channel	20200605	
P1_E9	N159/5.1	plate1	1	T	Pan-Gamma-protocadherin-Constant	20200605	
P1_F1	N121A/1.1	plate1	1	T	Pannexin-2	20200605	
P1_F10	N206A/8.1	plate1	1	T	GFAP	20200605	
P1_F11	N129/15.1	plate1	1	T	Mad3	20200605	
P1_F12	N212/3.2	plate1	1	T	TRIP8b (exon 4)	20200605	
P1_F2	N186/29.1.1	plate1	1	T	Dopamine D2 receptor	20200605	
P1_F3	N138/6.1	plate1	1	T	LRRK2/Dardarin	20200605	
P1_F4	N452/69.4.3	plate1	1	T	GABA(A)R, Gamma2L	20200605	
P1_F5	N70/28.1	plate1	1	T	HCN1	20200605	
P1_F6	N71/37.1	plate1	1	T	HCN2	20200605	
P1_F7	N165/38.1	plate1	1	T	LAR/PTPRF	20200605	
P1_F8	N275/14.1.2	plate1	1	T	Synaptotagmin-7	20200605	
P1_F9	N19/2.2	plate1	1	T	SAP102	20200605	
P1_G1	N212/7.1	plate1	1	T	TRIP8b	20200605	
P1_G10	N250/21.4	plate1	1	T	DNAH7	20200605	
P1_G11	N251/14.4	plate1	1	T	DNAH1	20200605	
P1_G12	N124/12.2	plate1	1	T	Kir2.2 K+ channel	20200605	
P1_G2	N212/17.3	plate1	1	T	TRIP8b	20200605	
P1_G3	N37A/10.1	plate1	1	T	Kv7.1/KCNQ1 K+ channel	20200605	
P1_G4	N38/8.4	plate1	1	T	Cav1.3 Ca2+ channel	20200605	
P1_G5	N51/6.2	plate1	1	T	NGL-3/LRRC4B	20200605	
P1_G6	N1/66.1	plate1	1	T	KCC2	20200605	
P1_G7	N26A/23.3	plate1	1	T	Kv7.2/KCNQ2 K+ channel	20200605	
P1_G8	N55/10.1	plate1	1	T	Cav3.2 Ca2+ channel	20200605	
P1_G9	N132A/12.1	plate1	1	T	Keyhole limpet hemocyanin (KLH)	20200605	
P1_H1	1F1.1.1.5	plate1		F		20200605	Restricted clone
P1_H10	N270/47.1	plate1	1	T	Synaptotagmin-6	20200605	
P1_H11	negativecontrol1	plate1		F		20200605	
P1_H12	negativecontrol2	plate1		F		20200605	
P1_H2	N141/28.1	plate1	1	T	HCN3	20200605	
P1_H3	N59/20.1	plate1	1	T	GluN2B/NR2B glutamate receptor	20200605	
P1_H4	N23B/6.1	plate1	1	T	Shank2	20200605	
P1_H5	N95/35.1	plate1	1	T	GABA(A)R, Alpha1	20200605	
P1_H6	N93A/49.2	plate1	1	T	GABA(B)R1	20200605	
P1_H7	N238/31.1	plate1	1	T	SAPAP1/2	20200605	
P1_H8	N87/25.2.2	plate1	1	T	GABA(A)R, Beta3	20200605	
P1_H9	N207/27.1	plate1	1	T	LRP4	20200605	
P10_A1	positivecontrol1_N52A/42.1	plate10		F		20200605	
P10_A10	N279B/27.3	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_A11	N279B/27.4	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_A12	N279B/27.5	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_A2	L106/4.2	plate10	3	T	Gephyrin	20200605	
P10_A3	L106/4.2.1	plate10	3	T	Gephyrin	20200605	
P10_A4	L106/4.2.7	plate10	3	T	Gephyrin	20200605	
P10_A5	N279A/49.2	plate10	2	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_A6	L106/94.1.2.1	plate10	3	T	Gephyrin	20200605	
P10_A7	L106/94.1.2.7	plate10	3	T	Gephyrin	20200605	
P10_A8	N279B/27.1	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_A9	N279B/27.2	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_B1	N279B/57.1	plate10	2	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_B10	positivecontrol2	plate10		F		20200605	
P10_B11	N279B/64.1	plate10	2	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_B12	L106/94.1.2.2	plate10	3	T	Gephyrin	20200605	
P10_B2	N279B/57.2	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_B3	N279B/86.1	plate10	2	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_B4	N279B/86.2	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_B5	N279B/86.3	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_B6	N279B/108.1	plate10	2	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_B7	N279B/108.2	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_B8	N279B/108.4	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_B9	N279B/108.5	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_C1	L106/94.1.2.3	plate10	3	T	Gephyrin	20200605	
P10_C10	N279/16.4	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_C11	N279/5.5	plate10	2	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_C12	N279/17.5	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_C2	L106/94.1.2.4	plate10	3	T	Gephyrin	20200605	
P10_C3	L106/94.1.2.5	plate10	3	T	Gephyrin	20200605	
P10_C4	L106/94.1.2.6	plate10	3	T	Gephyrin	20200605	
P10_C5	N279/5.6	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_C6	N279/17.1	plate10	2	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_C7	N279/17.6	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_C8	N279/58.5	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_C9	N279/16.2	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_D1	N279/58.4	plate10	2	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_D10	N279A/29.5	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_D11	N279A/29.6	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_D12	N279A/29.7	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_D2	N279/16.1	plate10	2	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_D3	N279/16.3	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_D4	N279/16.5	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_D5	N279A/42.9.3	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_D6	N279A/42.9.4	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_D7	N279A/42.9.5	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_D8	N279A/42.9.6	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_D9	N279A/29.4	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_E1	N279A/29.8	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_E10	N279A/36.1	plate10	2	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_E11	N279A/36.2	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_E12	N279A/36.3	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_E2	N279A/42.1	plate10	2	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_E3	N279A/42.2	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_E4	N279A/42.3	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_E5	N279A/42.4	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_E6	N279A/42.5	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_E7	N279A/42.6	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_E8	N279A/42.7	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_E9	N279A/42.8	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_F1	N279A/36.4	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_F10	N327/77.1	plate10	2	T	GluN2A/NR2A glutamate receptor	20200605	
P10_F11	N327/77.2	plate10	3	T	GluN2A/NR2A glutamate receptor	20200605	
P10_F12	N327/77.3	plate10	3	T	GluN2A/NR2A glutamate receptor	20200605	
P10_F2	N279A/36.5	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_F3	N279A/29.1	plate10	2	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_F4	N279A/29.2	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_F5	N279A/29.3	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_F6	N279A/42.9.2	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_F7	N279A/42.9.1.1	plate10	3	T	GluK5/Grik5/KA2 kainate receptor	20200605	
P10_F8	L106/94.1.2	plate10	3	T	Gephyrin	20200605	
P10_F9	L106/94.1.3	plate10	3	T	Gephyrin	20200605	
P10_G1	N327/77.4	plate10	3	T	GluN2A/NR2A glutamate receptor	20200605	
P10_G10	L106/94.2	plate10	3	T	Gephyrin	20200605	
P10_G11	L106/94.3	plate10	3	T	Gephyrin	20200605	
P10_G12	L106/94.4	plate10	3	T	Gephyrin	20200605	
P10_G2	L106/94.5	plate10	3	T	Gephyrin	20200605	
P10_G3	L106/94.6	plate10	3	T	Gephyrin	20200605	
P10_G4	L106/83.2	plate10	3	T	Gephyrin	20200605	
P10_G5	L106/83.3	plate10	3	T	Gephyrin	20200605	
P10_G6	L106/83.4	plate10	3	T	Gephyrin	20200605	
P10_G7	L106/83.5	plate10	3	T	Gephyrin	20200605	
P10_G8	L106/83.6	plate10	3	T	Gephyrin	20200605	
P10_G9	L106/94.1	plate10	3	T	Gephyrin	20200605	
P10_H1	L106/93.3	plate10	3	T	Gephyrin	20200605	
P10_H10	A12/18.1	plate10		F		20200605	Restricted clone
P10_H11	negativecontrol	plate10		F		20200605	
P10_H12	negativecontrol	plate10		F		20200605	
P10_H2	L106/93.4	plate10	3	T	Gephyrin	20200605	
P10_H3	L106/4.3	plate10	3	T	Gephyrin	20200605	
P10_H4	L106/4.4	plate10	3	T	Gephyrin	20200605	
P10_H5	L106/73.1	plate10	2	T	Gephyrin	20200605	
P10_H6	L106/73.2	plate10	3	T	Gephyrin	20200605	
P10_H7	L106/73.3	plate10	3	T	Gephyrin	20200605	
P10_H8	L106/73.4	plate10	3	T	Gephyrin	20200605	
P10_H9	N466/14.1	plate10	1	T	TALK1 K+ channel	20200605	Corrected clone #
P11_A1	positivecontrol1_N52A/42.1	plate11		F		20200605	
P11_A10	L114/81.1	plate11	3	T	Parvalbumin	20200605	
P11_A11	N327A/38.1.1	plate11	3	T	GluN2A/NR2A glutamate receptor	20200605	
P11_A12	N327A/38.1.1.1	plate11	3	T	GluN2A/NR2A glutamate receptor	20200605	
P11_A2	N18/22.1	plate11	2	T	PSD-93/Chapsyn-110	20200605	
P11_A3	N18/22.2	plate11	3	T	PSD-93/Chapsyn-110	20200605	
P11_A4	N18/22.3	plate11	3	T	PSD-93/Chapsyn-110	20200605	
P11_A5	N18/22.4	plate11	3	T	PSD-93/Chapsyn-110	20200605	
P11_A6	N18/22.5	plate11	3	T	PSD-93/Chapsyn-110	20200605	
P11_A7	N18/20.1	plate11	2	T	PSD-93/Chapsyn-110	20200605	
P11_A8	N18/20.3	plate11	3	T	PSD-93/Chapsyn-110	20200605	
P11_A9	N18/20.2	plate11	3	T	PSD-93/Chapsyn-110	20200605	
P11_B1	N327A/38.1.1.2	plate11	3	T	GluN2A/NR2A glutamate receptor	20200605	
P11_B10	N29/29.2	plate11	3	T	VGlut2	20200605	
P11_B11	positivecontrol2	plate11		F		20200605	
P11_B12	N29/29.3	plate11	3	T	VGlut2	20200605	
P11_B2	N18/28.1	plate11	3	T	PSD-93/Chapsyn-110	20200605	
P11_B3	N18/28.2	plate11	3	T	PSD-93/Chapsyn-110	20200605	
P11_B4	N18/28.3	plate11	3	T	PSD-93/Chapsyn-110	20200605	
P11_B5	N18/28.4	plate11	3	T	PSD-93/Chapsyn-110	20200605	
P11_B6	N18/28.5	plate11	3	T	PSD-93/Chapsyn-110	20200605	
P11_B7	N34/34.1	plate11	3	T	VGlut3	20200605	
P11_B8	N34/34.3	plate11	3	T	VGlut3	20200605	
P11_B9	N34/34.4	plate11	3	T	VGlut3	20200605	
P11_C1	N29/29.4	plate11	3	T	VGlut2	20200605	
P11_C10	N59/20.3	plate11	3	T	GluN2B/NR2B glutamate receptor	20200605	
P11_C11	N59/20.4	plate11	3	T	GluN2B/NR2B glutamate receptor	20200605	
P11_C12	N59/20.5	plate11	3	T	GluN2B/NR2B glutamate receptor	20200605	
P11_C2	N46/23.2	plate11	2	T	ADAM22	20200605	
P11_C3	N46/23.3	plate11	3	T	ADAM22	20200605	
P11_C4	N59/17.1	plate11	2	T	GluN2B/NR2B glutamate receptor	20200605	
P11_C5	N59/17.2	plate11	3	T	GluN2B/NR2B glutamate receptor	20200605	
P11_C6	N59/17.3	plate11	3	T	GluN2B/NR2B glutamate receptor	20200605	
P11_C7	N59/17.4	plate11	3	T	GluN2B/NR2B glutamate receptor	20200605	
P11_C8	N59/17.5	plate11	3	T	GluN2B/NR2B glutamate receptor	20200605	
P11_C9	N59/20.2	plate11	3	T	GluN2B/NR2B glutamate receptor	20200605	
P11_D1	N59/36.2	plate11	3	T	GluN2B/NR2B glutamate receptor	20200605	
P11_D10	N59/7.1	plate11	2	T	GluN2B/NR2B glutamate receptor	20200605	
P11_D11	N59/7.2	plate11	3	T	GluN2B/NR2B glutamate receptor	20200605	
P11_D12	N327A/38.2	plate11	3	T	GluN2A/NR2A glutamate receptor	20200605	
P11_D2	N59/36.3	plate11	3	T	GluN2B/NR2B glutamate receptor	20200605	
P11_D3	N59/36.4	plate11	3	T	GluN2B/NR2B glutamate receptor	20200605	
P11_D4	N59/36.5	plate11	3	T	GluN2B/NR2B glutamate receptor	20200605	
P11_D5	N59/31.1	plate11	2	T	GluN2B/NR2B glutamate receptor	20200605	
P11_D6	N59/31.2	plate11	3	T	GluN2B/NR2B glutamate receptor	20200605	
P11_D7	N59/31.3	plate11	3	T	GluN2B/NR2B glutamate receptor	20200605	
P11_D8	N59/31.4	plate11	3	T	GluN2B/NR2B glutamate receptor	20200605	
P11_D9	N59/31.5	plate11	3	T	GluN2B/NR2B glutamate receptor	20200605	
P11_E1	N327A/38.3	plate11	3	T	GluN2A/NR2A glutamate receptor	20200605	
P11_E10	N18/9.2	plate11	3	T	PSD-93/Chapsyn-110	20200605	
P11_E11	N18/2.1	plate11	2	T	PSD-93/Chapsyn-110	20200605	
P11_E12	N18/9.1	plate11	2	T	PSD-93/Chapsyn-110	20200605	
P11_E2	N327A/38.4	plate11	3	T	GluN2A/NR2A glutamate receptor	20200605	
P11_E3	N327A/38.5	plate11	3	T	GluN2A/NR2A glutamate receptor	20200605	
P11_E4	N327/95.2	plate11	3	T	GluN2A/NR2A glutamate receptor	20200605	
P11_E5	N327/77.5	plate11	3	T	GluN2A/NR2A glutamate receptor	20200605	
P11_E6	N327/77.6	plate11	3	T	GluN2A/NR2A glutamate receptor	20200605	
P11_E7	N18/2.1.1	plate11	3	T	PSD-93/Chapsyn-110	20200605	
P11_E8	N18/2.1.2	plate11	3	T	PSD-93/Chapsyn-110	20200605	
P11_E9	N18/2.1.3	plate11	3	T	PSD-93/Chapsyn-110	20200605	
P11_F1	N18/9.3	plate11	3	T	PSD-93/Chapsyn-110	20200605	
P11_F10	L114/81.1.1	plate11	3	T	Parvalbumin	20200605	
P11_F11	L114/81.1.6	plate11	3	T	Parvalbumin	20200605	
P11_F12	L114/81.1.2	plate11	3	T	Parvalbumin	20200605	
P11_F2	N18/9.4	plate11	3	T	PSD-93/Chapsyn-110	20200605	
P11_F3	N18/9.5	plate11	3	T	PSD-93/Chapsyn-110	20200605	
P11_F4	L114/3.1	plate11	3	T	Parvalbumin	20200605	
P11_F5	L114/3.2	plate11	3	T	Parvalbumin	20200605	
P11_F6	L114/38.1	plate11	2	T	Parvalbumin	20200605	
P11_F7	L114/38.2	plate11	3	T	Parvalbumin	20200605	
P11_F8	L114/38.3	plate11	3	T	Parvalbumin	20200605	
P11_F9	L114/38.4	plate11	3	T	Parvalbumin	20200605	
P11_G1	L114/81.1.8	plate11	3	T	Parvalbumin	20200605	
P11_G10	L114/13.2	plate11	3	T	Parvalbumin	20200605	
P11_G11	L114/81.2	plate11	3	T	Parvalbumin	20200605	
P11_G12	L114/81.3	plate11	3	T	Parvalbumin	20200605	
P11_G2	L114/81.1.3	plate11	3	T	Parvalbumin	20200605	
P11_G3	L114/81.1.4	plate11	3	T	Parvalbumin	20200605	
P11_G4	L114/81.1.5	plate11	3	T	Parvalbumin	20200605	
P11_G5	L114/81.1.7	plate11	3	T	Parvalbumin	20200605	
P11_G6	L114/81.1.9	plate11	3	T	Parvalbumin	20200605	
P11_G7	L114/13.4	plate11	3	T	Parvalbumin	20200605	
P11_G8	L114/13.5	plate11	3	T	Parvalbumin	20200605	
P11_G9	L114/13.1	plate11	2	T	Parvalbumin	20200605	
P11_H1	L114/81.4	plate11	3	T	Parvalbumin	20200605	
P11_H10	L106/4.2.9.5	plate11	3	T	Gephyrin	20200605	
P11_H11	negativecontrol	plate11		F		20200605	
P11_H12	negativecontrol	plate11		F		20200605	
P11_H2	L114/81.5	plate11	3	T	Parvalbumin	20200605	
P11_H3	L114/81.6	plate11	3	T	Parvalbumin	20200605	
P11_H4	L114/13.6	plate11	3	T	Parvalbumin	20200605	
P11_H5	L114/13.3	plate11	3	T	Parvalbumin	20200605	
P11_H6	L106/4.2.9.1	plate11	3	T	Gephyrin	20200605	
P11_H7	L106/4.2.9.2	plate11	3	T	Gephyrin	20200605	
