sample_name	trimmer_id	PlateName	SeqYear	Dropout? Missing	Dropout resolution	Category	ShowOnWeb	ProteinTarget	ChangeDate	ChangeReason
P65_E1	D4/112.1	plate65	Year1	Dec2020dropout-Both	n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)	2	F	Kv2.1 K+ channel	20201009	No show on web because expecting better seq from AP or DP plate
PDP2_C10	D4/112.1	plateDP2	Year2	Dec2020dropout-HC	? Already redone, non-IgG1/2a/2b/3?	2	T	Kv2.1 K+ channel	20201009	
P65_E2	D4/133.1	plate65	Year1	n/a-n/a		2	T	Kv2.1 K+ channel	20200619	
P65_E3	D4/135.1	plate65	Year1	Dec2020dropout-LC	? Alternate subs also dropouts	2	T	Kv2.1 K+ channel	20200619	
P71_B4	D4/135.2	plate71	Year2	Dec2020dropout-Both	? Alternate subs also dropouts	2	T	Kv2.1 K+ channel	20201109	
P71_B5	D4/135.3	plate71	Year2	Dec2020dropout-Both	? Alternate subs also dropouts	2	T	Kv2.1 K+ channel	20201109	
P65_E8	D4/152.1	plate65	Year1	n/a-n/a		2	T	Kv2.1 K+ channel	20200619	
P71_D9	D4/152.3	plate71	Year2	n/a-n/a		2	T	Kv2.1 K+ channel	20201109	
P71_D10	D4/152.4	plate71	Year2	n/a-n/a		2	T	Kv2.1 K+ channel	20201109	
P65_E4	D4/154.1	plate65	Year1	n/a-n/a		2	T	Kv2.1 K+ channel	20200619	
P71_B6	D4/154.2	plate71	Year2	n/a-n/a		2	T	Kv2.1 K+ channel	20201109	
P71_B7	D4/154.3	plate71	Year2	Dec2020dropout-HC	n/a, have good sequence for other subclone elsewhere	2	T	Kv2.1 K+ channel	20201109	
P65_D7	D4/16.1	plate65	Year1	n/a-n/a		2	T	Kv2.1 K+ channel	20200619	
P71_A8	D4/16.2	plate71	Year2	n/a-n/a		2	T	Kv2.1 K+ channel	20201109	
P71_A9	D4/16.3	plate71	Year2	Dec2020dropout-Both	? Alternate subs do not corroborate each other	2	T	Kv2.1 K+ channel	20201109	
P65_E5	D4/176.1	plate65	Year1	Dec2020dropout-Both	n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)	2	F	Kv2.1 K+ channel	20201009	No show on web because expecting better seq from AP or DP plate
PDP2_D10	D4/176.1	plateDP2	Year2	Dec2020dropout-Both	? Already redone	2	T	Kv2.1 K+ channel	20201009	
P65_E6	D4/181.1	plate65	Year1	Dec2020dropout-Both	Try again?	2	T	Kv2.1 K+ channel	20200619	
P65_E7	D4/194.1	plate65	Year1	n/a-n/a		2	T	Kv2.1 K+ channel	20200619	
P65_D6	D4/27.1	plate65	Year1	n/a-n/a		2	T	Kv2.1 K+ channel	20200619	
P71_B8	D4/27.2	plate71	Year2	n/a-n/a		2	T	Kv2.1 K+ channel	20201109	
P71_B9	D4/27.3	plate71	Year2	n/a-n/a		2	T	Kv2.1 K+ channel	20201109	
P65_D8	D4/40.2	plate65	Year1	n/a-n/a		2	T	Kv2.1 K+ channel	20200619	
P71_A10	D4/40.3	plate71	Year2	n/a-n/a		2	T	Kv2.1 K+ channel	20201109	
P71_A11	D4/40.4	plate71	Year2	n/a-n/a		2	T	Kv2.1 K+ channel	20201109	
P66_H10	D4/49.1	plate66	Year1	n/a-n/a		2	T	Kv2.1 K+ channel	20200619	
P71_C4	D4/49.2	plate71	Year2	n/a-n/a		2	T	Kv2.1 K+ channel	20201109	
P71_C5	D4/49.3	plate71	Year2	n/a-n/a		2	T	Kv2.1 K+ channel	20201109	
P65_D10	D4/67.1	plate65	Year1	n/a-n/a		2	F	Kv2.1 K+ channel	20201009	No show on web because expecting better seq from AP or DP plate
PAP1_H8	D4/67.1	plateAP1		n/a-n/a	n/a, got seq after all	2	F	Kv2.1 K+ channel	20201228	No show on web because not doing AP plate
P65_D11	D4/81.1	plate65	Year1	Dec2020dropout-Both	n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)	2	F	Kv2.1 K+ channel	20201009	No show on web because expecting better seq from AP or DP plate
PAP1_H9	D4/81.1	plateAP1		n/a-n/a	? Alternate subs also dropouts	2	F	Kv2.1 K+ channel	20201228	No show on web because not doing AP plate
P71_B2	D4/81.2	plate71	Year2	Dec2020dropout-Both	? Alternate subs also dropouts	2	T	Kv2.1 K+ channel	20201109	
P71_B3	D4/81.3	plate71	Year2	Dec2020dropout-Both	? Alternate subs also dropouts	2	T	Kv2.1 K+ channel	20201109	
P65_D9	D43/43.2	plate65	Year1	n/a-n/a		2	T	Kv2.1 K+ channel	20200619	
P2_C5	EA7.2	plate2	Year1	Dec2020dropout-HC	n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)	1	T	Cdkl5	20210209	Removed "Restricted clone" status, no show on web because expecting better seq from AP or DP plate => need to show
P73_C10	EA7.2	plate73	Year2			1	T	Cdkl5	20210312	
PAP1_B5	EA7.2	plateAP1		n/a-n/a	Try again?	1	F	Cdkl5	20201228	Removed "Restricted clone" status, no show on web because not doing AP plate
P3_A8	empty	plate3	Year1	n/a-n/a			F		20200428	Empty
P5_A3	EMPTY	plate5	Year1	n/a-n/a			F		20200708	Empty, corrected "sample_name" due to plate orientation error
P70_H12	empty	plate70	Year2	n/a-n/a			F		20201109	Empty
P71_F12	empty	plate71	Year2	n/a-n/a			F		20201109	Empty
PAP1_A1	empty	plateAP1		n/a-n/a	n/a, empty		F		20201009	Empty
PDP2_F12	empty	plateDP2	Year2	n/a-n/a			F		20201009	Empty
PDP2_G12	empty	plateDP2	Year2	n/a-n/a			F		20201009	Empty
PDP2_H12	empty	plateDP2	Year2	n/a-n/a			F		20201009	Empty
P73_A1	Empty for negative control	plate73	Year2				F		20210312	Empty
P73_G12	Empty for negative control	plate73	Year2				F		20210312	Empty
P73_H11	Empty for negative control	plate73	Year2				F		20210312	Empty
P73_H12	Empty for negative control	plate73	Year2				F		20210312	Empty
P75_B2	Empty for negative control	plate75	Year2				F		20210312	Empty
P75_H12	Empty for negative control	plate75	Year2				F		20210312	Empty
P51_F3	emptywellcontrol	plate51	Year1	n/a-n/a			F		20200619	Empty
P52_F4	emptywellcontrol	plate52	Year1	n/a-n/a			F		20200619	Empty
P56_F8	emptywellcontrol	plate56	Year1	n/a-n/a			F		20200619	Empty
P57_F9	emptywellcontrol	plate57	Year1	n/a-n/a			F		20200619	Empty
P59_F10	emptywellcontrol	plate59	Year1	n/a-n/a			F		20200619	Empty
P60_F11	emptywellcontrol	plate60	Year1	n/a-n/a			F		20200619	Empty
P65_G4	emptywellcontrol	plate65	Year1	n/a-n/a			F		20200619	Empty
P66_G5	emptywellcontrol	plate66	Year1	n/a-n/a			F		20200619	Empty
P66_A5	K13/31.2	plate66	Year1	n/a-n/a		1	T	Kv1.4 K+ channel	20200619	
P72_H2	K13/31.2	plate72	Year2	Dec2020dropout-Both	n/a, have good sequence for same subclone elsewhere	1	T	Kv1.4 K+ channel	20201109	
P73_C1	K13/31.2	plate73	Year2			1	T	Kv1.4 K+ channel	20210312	
P73_D9	K13/31.2	plate73	Year2			1	T	Kv1.4 K+ channel	20210312	
Psanger_128613	K13/31R	Sanger_samples		n/a-n/a		6	T	Kv1.4 K+ channel	20200617	Added Psanger to Addgene ID # for "sample_name"
PRnD_N20	K14/16.2	RandD_samples	Year1	n/a-n/a		1	T	Kv1.2 K+ channel	20200617	Changed "sample_name" as per RnD key
P73_C5	K14/16.2.1	plate73	Year2			3	T	Kv1.2 K+ channel	20210312	
P73_C6	K14/16.2.2	plate73	Year2			3	T	Kv1.2 K+ channel	20210312	
P67_C2	K14/16.3	plate67	Year2	Dec2020dropout-Both	n/a, have good sequence for other subclone elsewhere	3	T	Kv1.2 K+ channel	20201109	
P67_C3	K14/16.4	plate67	Year2	n/a-n/a		3	T	Kv1.2 K+ channel	20201109	
Psanger_128614	K14/16R	Sanger_samples		n/a-n/a		6	T	Kv1.2 K+ channel	20200617	Added Psanger to Addgene ID # for "sample_name"
P31_A3	K14/39.1	plate31	Year1	Dec2020dropout-Both	n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)	2	F	Kv1.2 K+ channel	20201009	No show on web because expecting better seq from AP or DP plate
PDP1_F2	K14/39.1	plateDP1	Year2	n/a-n/a		2	T	Kv1.2 K+ channel	20201009	
P26_C1	K17/24.1	plate26	Year1	n/a-n/a		2	T	Kvbeta2 K+ channel	20200605	
PS3_H7	K17/24.1	plateS3	Year2	n/a-n/a		2	T	Kvbeta2 K+ channel	20210312	Should be corroborating subclone seq, may show if better seq than initial one => might as well show
P26_C2	K17/24.2	plate26	Year1	n/a-n/a		2	T	Kvbeta2 K+ channel	20201109	Corrected category
P26_C3	K17/24.3	plate26	Year1	n/a-n/a		2	T	Kvbeta2 K+ channel	20201109	Corrected category
P26_C4	K17/24.4	plate26	Year1	n/a-n/a		2	T	Kvbeta2 K+ channel	20201109	Corrected category
P26_C5	K17/24.5	plate26	Year1	n/a-n/a		2	T	Kvbeta2 K+ channel	20201109	Corrected category
P26_C6	K17/24.6	plate26	Year1	Dec2020dropout-Both	n/a, have good sequence for other subclone elsewhere	2	T	Kvbeta2 K+ channel	20201109	Corrected category
P26_C7	K17/70.1	plate26	Year1	n/a-n/a		3	T	Kvbeta2 K+ channel	20200605	
PS3_H8	K17/70.1	plateS3	Year2	n/a-n/a		3	T	Kvbeta2 K+ channel	20210312	Should be corroborating subclone seq, may show if better seq than initial one => might as well show
P66_F1	K17/70.2	plate66	Year1	n/a-n/a		1	T	Kvbeta2 K+ channel	20200619	
P26_C10	K17/70.3	plate26	Year1	Dec2020dropout-Both	n/a, have good sequence for other subclone elsewhere	3	T	Kvbeta2 K+ channel	20200605	
P26_C11	K17/70.4	plate26	Year1	n/a-n/a		3	T	Kvbeta2 K+ channel	20200605	
P26_C8	K17/70.5	plate26	Year1	n/a-n/a		3	T	Kvbeta2 K+ channel	20200605	
P26_C9	K17/70.6	plate26	Year1	n/a-n/a		3	T	Kvbeta2 K+ channel	20200605	
P26_C12	K17/70.7	plate26	Year1	Dec2020dropout-Both	n/a, have good sequence for other subclone elsewhere	3	T	Kvbeta2 K+ channel	20200605	
P26_D1	K17/70.8	plate26	Year1	n/a-n/a		3	T	Kvbeta2 K+ channel	20200605	
Psanger_128615	K17/70R	Sanger_samples		n/a-n/a		6	T	Kvbeta2 K+ channel	20200617	Added Psanger to Addgene ID # for "sample_name"
P30_A11	K19/13.2	plate30	Year1	Dec2020dropout-Both	n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)	2	F	Kv1.6 K+ channel	20201009	No show on web because expecting better seq from AP or DP plate
PDP1_E2	K19/13.2	plateDP1	Year2	n/a-n/a		2	T	Kv1.6 K+ channel	20201009	
P24_B4	K19/2.4	plate24	Year1	n/a-n/a		2	T	Kv1.6 K+ channel	20200605	
PS3_C12	K19/2.4	plateS3	Year2	n/a-n/a		2	T	Kv1.6 K+ channel	20210312	Should be corroborating subclone seq, may show if better seq than initial one => might as well show
P24_B5	K19/2.5	plate24	Year1	Dec2020dropout-Both	? Alternate subs also dropouts	2	T	Kv1.6 K+ channel	20201109	Corrected category
P24_B6	K19/2.6	plate24	Year1	Dec2020dropout-Both	? Alternate subs also dropouts	2	T	Kv1.6 K+ channel	20201109	Corrected category
P66_A7	K19/36.1	plate66	Year1	n/a-n/a		1	T	Kv1.6 K+ channel	20210209	No show on web because expecting better seq from AP or DP plate => actually ok?
PAP1_H10	K19/36.1	plateAP1		n/a-n/a	n/a, got seq after all	1	F	Kv1.6 K+ channel	20201228	No show on web because not doing AP plate
P24_A6	K19/36.3	plate24	Year1	n/a-n/a		3	T	Kv1.6 K+ channel	20200605	
PS3_C10	K19/36.3	plateS3	Year2	n/a-n/a		3	T	Kv1.6 K+ channel	20210312	Should be corroborating subclone seq, may show if better seq than initial one => might as well show
P24_A7	K19/36.4	plate24	Year1	n/a-n/a		3	T	Kv1.6 K+ channel	20200605	
P24_A8	K19/36.5	plate24	Year1	n/a-n/a		3	T	Kv1.6 K+ channel	20200605	
P24_A9	K19/36.6	plate24	Year1	Dec2020dropout-Both	n/a, have good sequence for other subclone elsewhere	3	T	Kv1.6 K+ channel	20200605	
Psanger_140068	K19/36R	Sanger_samples		n/a-n/a		6	T	Kv1.6 K+ channel	20200702	
P24_A10	K19/46.1	plate24	Year1	n/a-n/a		2	T	Kv1.6 K+ channel	20200605	
PS3_C11	K19/46.1	plateS3	Year2	n/a-n/a		2	T	Kv1.6 K+ channel	20210312	Should be corroborating subclone seq, may show if better seq than initial one => might as well show
P24_A11	K19/46.2	plate24	Year1	n/a-n/a		2	T	Kv1.6 K+ channel	20201109	Corrected category
P24_A12	K19/46.3	plate24	Year1	n/a-n/a		2	T	Kv1.6 K+ channel	20201109	Corrected category
P24_B1	K19/46.4	plate24	Year1	n/a-n/a		2	T	Kv1.6 K+ channel	20201109	Corrected category
P24_B2	K19/46.5	plate24	Year1	n/a-n/a		2	T	Kv1.6 K+ channel	20201109	Corrected category
P24_B3	K19/46.6	plate24	Year1	n/a-n/a		2	T	Kv1.6 K+ channel	20201109	Corrected category
P30_A10	K19/5.1	plate30	Year1	n/a-n/a		2	T	Kv1.6 K+ channel	20200428	
P49_A3	K20/2	plate49	Year1	Dec2020dropout-LC	n/a, Category 4 parent so skip for now	4	T	Kv1.1 K+ channel	20200619	
P49_A2	K20/41	plate49	Year1	Dec2020dropout-HC	n/a, Category 4 parent so skip for now	4	T	Kv1.1 K+ channel	20200619	
P49_A5	K20/58	plate49	Year1	n/a-n/a		4	T	Kv1.1 K+ channel	20200619	
P49_A6	K20/59	plate49	Year1	n/a-n/a		4	T	Kv1.1 K+ channel	20200619	
P49_A7	K20/74	plate49	Year1	n/a-n/a		4	T	Kv1.1 K+ channel	20200619	
P18_B10	K20/77.1	plate18	Year1	n/a-n/a		2	T	Kv1.1 K+ channel	20200605	
PS1_G11	K20/77.1	plateS1	Year2	n/a-n/a		2	T	Kv1.1 K+ channel	20210312	Should be corroborating subclone seq, may show if better seq than initial one => might as well show
P18_B11	K20/77.2	plate18	Year1	n/a-n/a		2	T	Kv1.1 K+ channel	20201109	Corrected category
P18_B12	K20/77.3	plate18	Year1	n/a-n/a		2	T	Kv1.1 K+ channel	20201109	Corrected category
P18_C1	K20/77.4	plate18	Year1	n/a-n/a		2	T	Kv1.1 K+ channel	20201109	Corrected category
P18_C2	K20/77.5	plate18	Year1	n/a-n/a		2	T	Kv1.1 K+ channel	20201109	Corrected category
P18_C3	K20/77.6	plate18	Year1	n/a-n/a		2	T	Kv1.1 K+ channel	20201109	Corrected category
P18_B7	K20/78.1	plate18	Year1	n/a-n/a		3	T	Kv1.1 K+ channel	20200605	
PS1_G10	K20/78.1	plateS1	Year2	n/a-n/a		3	T	Kv1.1 K+ channel	20210312	Should be corroborating subclone seq, may show if better seq than initial one => might as well show
P18_G1	K20/78.1B	plate18	Year1	n/a-n/a		3	T	Kv1.1 K+ channel	20200605	
PS2_A2	K20/78.1B	plateS2	Year2	n/a-n/a		3	T	Kv1.1 K+ channel	20210312	Should be corroborating subclone seq, may show if better seq than initial one => might as well show
P17_H9	K20/78.2	plate17	Year1	n/a-n/a		3	T	Kv1.1 K+ channel	20200605	
PS1_G4	K20/78.2	plateS1	Year2	n/a-n/a		3	T	Kv1.1 K+ channel	20210312	Should be corroborating subclone seq, may show if better seq than initial one => might as well show
P18_C5	K20/78.2.1	plate18	Year1	Dec2020dropout-Both	n/a, have good sequence for other subclone elsewhere	3	T	Kv1.1 K+ channel	20200605	
P18_C7	K20/78.2.2	plate18	Year1	n/a-n/a		3	T	Kv1.1 K+ channel	20200605	
P18_C8	K20/78.2.3	plate18	Year1	n/a-n/a		3	T	Kv1.1 K+ channel	20200605	
P18_C9	K20/78.2.4	plate18	Year1	n/a-n/a		3	T	Kv1.1 K+ channel	20200605	
P18_C10	K20/78.2.5	plate18	Year1	Dec2020dropout-Both	n/a, have good sequence for other subclone elsewhere	3	T	Kv1.1 K+ channel	20200605	
P18_G2	K20/78.2B	plate18	Year1	n/a-n/a		3	T	Kv1.1 K+ channel	20200605	
P18_B8	K20/78.3	plate18	Year1	n/a-n/a		3	T	Kv1.1 K+ channel	20200605	
P18_G3	K20/78.3B	plate18	Year1	n/a-n/a		3	T	Kv1.1 K+ channel	20200605	
P18_B9	K20/78.4	plate18	Year1	Dec2020dropout-Both	n/a, have good sequence for other subclone elsewhere	3	T	Kv1.1 K+ channel	20200605	
P18_G4	K20/78.4B	plate18	Year1	n/a-n/a		3	T	Kv1.1 K+ channel	20200605	
P66_E9	K20/78.5	plate66	Year1	n/a-n/a		1	T	Kv1.1 K+ channel	20200619	
P18_G5	K20/78.5B	plate18	Year1	n/a-n/a		3	T	Kv1.1 K+ channel	20200605	
Psanger_128616	K20/78R	Sanger_samples		n/a-n/a		6	T	Kv1.1 K+ channel	20200617	Added Psanger to Addgene ID # for "sample_name"
P49_A4	K20/8	plate49	Year1	n/a-n/a		4	T	Kv1.1 K+ channel	20200619	
P49_A8	K20/82	plate49	Year1	n/a-n/a		4	T	Kv1.1 K+ channel	20200619	
P49_A9	K20/83	plate49	Year1	n/a-n/a		4	T	Kv1.1 K+ channel	20200619	
P49_H9	K20/86	plate49	Year1	n/a-n/a		4	T	Kv1.1 K+ channel	20200619	
P49_A10	K20/87	plate49	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Kv1.1 K+ channel	20200619	
P49_H10	K20/88	plate49	Year1	Dec2020dropout-HC	n/a, Category 4 parent so skip for now	4	T	Kv1.1 K+ channel	20200619	
P49_A11	K20/89	plate49	Year1	Dec2020dropout-HC	n/a, Category 4 parent so skip for now	4	T	Kv1.1 K+ channel	20200619	
P49_A12	K20/91	plate49	Year1	n/a-n/a		4	T	Kv1.1 K+ channel	20200619	
P38_F8	K21/1.1	plate38	Year1	n/a-n/a		2	T	Kv3 K+ channel	20200619	
P28_C11	K25/59.1	plate28	Year1	Dec2020dropout-HC	Try again?	2	T	Kvbeta K+ channel	20200428	
P66_B11	K25/73.4	plate66	Year1	n/a-n/a		1	T	Kvbeta K+ channel	20200619	
P72_A6	K25/73.4	plate72	Year2	n/a-n/a		1	T	Kvbeta K+ channel	20201109	
P73_A5	K25/73.4	plate73	Year2			1	T	Kvbeta K+ channel	20210312	
Psanger_128617	K25/73R	Sanger_samples		n/a-n/a		6	T	Kvbeta K+ channel	20200617	Added Psanger to Addgene ID # for "sample_name"
P44_D9	K28/1	plate44	Year1	n/a-n/a		4	T	PSD-95	20200619	
P44_C12	K28/10	plate44	Year1	n/a-n/a		4	T	PSD-95	20200619	
P44_C11	K28/11	plate44	Year1	n/a-n/a		4	T	PSD-95	20200619	
P44_C10	K28/12	plate44	Year1	n/a-n/a		4	T	PSD-95	20200619	
P44_C9	K28/13	plate44	Year1	n/a-n/a		4	T	PSD-95	20200619	
P44_C8	K28/14	plate44	Year1	n/a-n/a		4	T	PSD-95	20200619	
P44_C7	K28/15	plate44	Year1	n/a-n/a		4	T	PSD-95	20200619	
P65_G11	K28/16	plate65	Year1	n/a-n/a		4	T	PSD-95	20200619	
P44_C5	K28/17	plate44	Year1	n/a-n/a		4	T	PSD-95	20200619	
P44_C4	K28/18	plate44	Year1	n/a-n/a		4	T	PSD-95	20200619	
P44_C3	K28/19	plate44	Year1	n/a-n/a		4	T	PSD-95	20200619	
P44_D8	K28/2	plate44	Year1	n/a-n/a		4	T	PSD-95	20200619	
P44_C2	K28/20	plate44	Year1	n/a-n/a		4	T	PSD-95	20200619	
P44_C1	K28/21	plate44	Year1	n/a-n/a		4	T	PSD-95	20200619	
P44_B12	K28/22	plate44	Year1	n/a-n/a		4	T	PSD-95	20200619	
P44_B11	K28/23	plate44	Year1	n/a-n/a		4	T	PSD-95	20200619	
P44_B10	K28/24	plate44	Year1	n/a-n/a		4	T	PSD-95	20200619	
P12_A7	K28/25.1	plate12	Year1	n/a-n/a		2	T	PSD-95	20200605	
P12_A8	K28/25.2	plate12	Year1	n/a-n/a		2	T	PSD-95	20201109	Corrected category
P12_A9	K28/25.3	plate12	Year1	n/a-n/a		2	T	PSD-95	20201109	Corrected category
P12_A10	K28/25.5	plate12	Year1	n/a-n/a		2	T	PSD-95	20201109	Corrected category
P12_A11	K28/25.6	plate12	Year1	n/a-n/a		2	T	PSD-95	20201109	Corrected category
P44_B9	K28/26	plate44	Year1	n/a-n/a		4	T	PSD-95	20200619	
P12_A12	K28/27.1	plate12	Year1	n/a-n/a		2	T	PSD-95	20200605	
P12_B2	K28/27.2	plate12	Year1	n/a-n/a		2	T	PSD-95	20201109	Corrected category
P12_B4	K28/27.3	plate12	Year1	n/a-n/a		2	T	PSD-95	20201109	Corrected category
P12_B5	K28/27.4	plate12	Year1	n/a-n/a		2	T	PSD-95	20201109	Corrected category
P12_B6	K28/27.5	plate12	Year1	n/a-n/a		2	T	PSD-95	20201109	Corrected category
P12_B8	K28/27.6	plate12	Year1	n/a-n/a		2	T	PSD-95	20201109	Corrected category
P44_B8	K28/28	plate44	Year1	n/a-n/a		4	T	PSD-95	20200619	
P65_E9	K28/29	plate65	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	PSD-95	20200619	
P44_D7	K28/3	plate44	Year1	n/a-n/a		4	T	PSD-95	20200619	
P44_B6	K28/30	plate44	Year1	n/a-n/a		4	T	PSD-95	20200619	
P44_B5	K28/31	plate44	Year1	n/a-n/a		4	T	PSD-95	20200619	
P44_B4	K28/32	plate44	Year1	n/a-n/a		4	T	PSD-95	20200619	
P44_B3	K28/33	plate44	Year1	n/a-n/a		4	T	PSD-95	20200619	
